batch_number,Type,ID,KIND_OF_CONDITION_ID,KIND_OF_CONDITION,CONDITION_DATA_SET_ID,KIND_OF_PART_ID,KIND_OF_PART,PART_ID,PART_BARCODE,PART_NAME_LABEL,VFB_V,CACC_PFRD,NOX,TOX_NM,CAC_PFRD,KIND_OF_HM_FLUTE_ID,KIND_OF_HM_STRUCT_ID,KIND_OF_HM_CONFIG_ID,KIND_OF_HM_SET_ID,PROCEDURE_TYPE,EQUIPMENT,WAITING_TIME_S,AC_FREQ_HZ,AC_AMPL_V,CORR_OPEN_PFRD,TEMP_SET_DEGC,AV_TEMP_DEGC,FILE_NAME,Location
34252,PSS,21842671,9140,Tracker Halfmoon CV Parameters,2046038,7500,PS-s Halfmoon W,26223,34252_004_PSS_HM_WW,34252_004_PSS_HM_WW,-2.369,85.01,4539348000000.0,,,PQC1,MOS_QUARTER,Not Used,Left,MOS,PQC_HM_POSITION 4,10.0,10000.0,0.05,,20.0,20.032,Test_HPK_VPX34252_004_PSS_HM_WW_West_South_PQC1_MOS_MOSQuarter_CV_Run02_08_17_2020_04_57_05_PM.txt,Brown
34252,PSS,21875090,9140,Tracker Halfmoon CV Parameters,2047187,7500,PS-s Halfmoon W,26223,34252_004_PSS_HM_WW,34252_004_PSS_HM_WW,-2.315,86.389,4611247000000.0,,,PQC1,MOS_QUARTER,Not Used,Left,MOS,PQC_HM_POSITION 4,10.0,10000.0,0.05,,20.0,20.032,Test_HPK_VPX34252_004_PSS_HM_WW_West_South_PQC1_MOS_MOSQuarter_CV_Run02_08_17_2020_04_57_05_PM.txt,Brown
34252,PSS,21944740,9140,Tracker Halfmoon CV Parameters,2049689,7480,PS-s Halfmoon E,26236,34252_007_PSS_HM_EE,34252_007_PSS_HM_EE,-2.412,86.364,4613064000000.0,,,PQC1,MOS_QUARTER,Not Used,Left,MOS,PQC_HM_POSITION 1,10.0,10000.0,0.05,,20.0,20.09,Test_HPK_VPX34252_007_PSS_HM_EE_East_North_PQC1_MOS_MOSQuarter_CV_Run01_08_31_2020_03_19_51_PM.txt,Brown
34252,PSS,21842664,9140,Tracker Halfmoon CV Parameters,2045738,7500,PS-s Halfmoon W,26241,34252_007_PSS_HM_WW,34252_007_PSS_HM_WW,-2.414,85.63,4573904000000.0,,,PQC1,MOS_QUARTER,Not Used,Left,MOS,PQC_HM_POSITION 2,10.0,10000.0,0.05,,20.0,20.125,Test_HPK_VPX34252_007_PSS_HM_WW_West_South_PQC1_MOS_MOSQuarter_CV_Run01_08_31_2020_04_46_54_PM.txt,Brown
34252,PSS,21966340,9140,Tracker Halfmoon CV Parameters,2050511,7480,PS-s Halfmoon E,26242,34252_008_PSS_HM_EE,34252_008_PSS_HM_EE,-2.346,85.644,4572491000000.0,,,PQC1,MOS_QUARTER,Not Used,Right,MOS,PQC_HM_POSITION 3,10.0,10000.0,0.05,,20.0,20.105,Test_HPK_VPX34252_008_PSS_HM_EE_East_South_PQC1_MOS_MOSQuarter_CV_Run03_08_31_2020_01_16_54_PM.txt,Brown
34252,PSS,21955830,9140,Tracker Halfmoon CV Parameters,2050268,7480,PS-s Halfmoon E,26242,34252_008_PSS_HM_EE,34252_008_PSS_HM_EE,-2.425,86.953,4644966000000.0,,,PQC1,MOS_QUARTER,Not Used,Right,MOS,PQC_HM_POSITION 3,10.0,10000.0,0.05,,20.0,20.105,Test_HPK_VPX34252_008_PSS_HM_EE_East_South_PQC1_MOS_MOSQuarter_CV_Run03_08_31_2020_01_16_54_PM.txt,Brown
34252,PSS,21875087,9140,Tracker Halfmoon CV Parameters,2047106,7500,PS-s Halfmoon W,26247,34252_008_PSS_HM_WW,34252_008_PSS_HM_WW,-2.42,85.154,4548698000000.0,,,PQC1,MOS_QUARTER,Not Used,Left,MOS,PQC_HM_POSITION 4,10.0,10000.0,0.05,,20.0,20.077,Test_HPK_VPX34252_008_PSS_HM_WW_West_South_PQC1_MOS_MOSQuarter_CV_Run01_09_01_2020_04_23_05_PM.txt,Brown
34252,PSS,21888293,9140,Tracker Halfmoon CV Parameters,2047820,7500,PS-s Halfmoon W,26247,34252_008_PSS_HM_WW,34252_008_PSS_HM_WW,-2.309,85.847,4582147000000.0,,,PQC1,MOS_QUARTER,Not Used,Left,MOS,PQC_HM_POSITION 4,10.0,10000.0,0.05,,20.0,20.077,Test_HPK_VPX34252_008_PSS_HM_WW_West_South_PQC1_MOS_MOSQuarter_CV_Run01_09_01_2020_04_23_05_PM.txt,Brown
34252,PSS,21875082,9140,Tracker Halfmoon CV Parameters,2046959,7480,PS-s Halfmoon E,26248,34252_009_PSS_HM_EE,34252_009_PSS_HM_EE,-2.414,85.62,4573378000000.0,,,PQC1,MOS_QUARTER,Not Used,Right,MOS,PQC_HM_POSITION 1,10.0,10000.0,0.05,,20.0,20.006,Test_HPK_VPX34252_009_PSS_HM_EE_East_South_PQC1_MOS_MOSQuarter_CV_Run01_09_03_2020_02_47_42_PM.txt,Brown
34252,PSS,21902045,9140,Tracker Halfmoon CV Parameters,2048204,7480,PS-s Halfmoon E,26248,34252_009_PSS_HM_EE,34252_009_PSS_HM_EE,-2.444,86.667,4630282000000.0,,,PQC1,MOS_QUARTER,Not Used,Right,MOS,PQC_HM_POSITION 1,10.0,10000.0,0.05,,20.0,20.006,Test_HPK_VPX34252_009_PSS_HM_EE_East_South_PQC1_MOS_MOSQuarter_CV_Run01_09_03_2020_02_47_42_PM.txt,Brown
