batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,RSH_OHMSQR
34252,PSS,EE,Brown,Left,20.0,20.071,17890.35
34252,PSS,EE,Brown,Right,20.0,20.222,18182.52
34252,PSS,EE,Brown,Right,20.0,19.993,17614.3
34252,PSS,EE,Brown,Left,20.0,20.068,17868.43
34252,PSS,WW,Brown,Left,20.0,20.065,18380.27
34252,PSS,WW,Brown,Left,20.0,20.06,18426.28
34252,PSS,WW,Brown,Right,20.0,20.02,17963.07
34252,PSS,WW,Brown,Right,20.0,20.018,17952.89
34252,PSS,EE,Brown,Left,20.0,20.063,17896.27
34252,PSS,EE,Brown,Right,20.0,20.065,18167.86
34252,PSS,EE,Brown,Left,20.0,20.059,17889.38
34252,PSS,EE,Brown,Right,20.0,20.068,18171.07
34252,PSS,WW,Brown,Right,20.0,20.026,17993.72
34252,PSS,WW,Brown,Left,20.0,20.098,18346.5
34252,PSS,WW,Brown,Right,20.0,20.028,18025.84
34252,PSS,WW,Brown,Left,20.0,20.095,18408.95
34252,PSS,EE,Brown,Left,20.0,20.031,17985.55
34252,PSS,EE,Brown,Right,20.0,20.043,18152.98
34252,PSS,EE,Brown,Right,20.0,20.056,18155.46
34252,PSS,EE,Brown,Left,20.0,20.034,17948.67
34252,PSS,WW,Brown,Left,20.0,20.024,18373.82
34252,PSS,WW,Brown,Right,20.0,20.072,18039.93
34252,PSS,WW,Brown,Right,20.0,20.066,17985.04
34252,PSS,WW,Brown,Left,20.0,20.022,18470.59
34252,PSS,EE,Brown,Left,20.0,20.034,17832.3
34252,PSS,EE,Brown,Left,20.0,20.038,17853.3
34252,PSS,EE,Brown,Right,20.0,20.008,18170.02
34252,PSS,WW,Brown,Right,20.0,20.248,17937.77
34252,PSS,WW,Brown,Left,20.0,20.069,18210.2
34252,PSS,WW,Brown,Right,20.0,20.26,17921.94
34252,PSS,WW,Brown,Left,20.0,20.083,18207.53
34252,PSS,EE,Brown,Right,20.0,20.007,18109.96
34252,PSS,EE,Brown,Left,20.0,20.082,17938.6
34252,PSS,EE,Brown,Left,20.0,20.078,17927.56
34252,PSS,EE,Brown,Right,20.0,20.005,18125.26
34252,PSS,WW,Brown,Right,20.0,20.072,17860.9
34252,PSS,WW,Brown,Right,20.0,20.077,17959.85
34252,PSS,WW,Brown,Left,20.0,20.095,18378.74
34252,PSS,WW,Brown,Left,20.0,20.102,18302.22
34252,PSS,EE,Brown,Left,20.0,20.115,17886.17
34252,PSS,EE,Brown,Left,20.0,20.112,17920.96
34252,PSS,EE,Brown,Right,20.0,20.161,18174.27
34252,PSS,EE,Brown,Right,20.0,20.157,18237.31
34252,PSS,WW,Brown,Left,20.0,20.088,18389.27
34252,PSS,WW,Brown,Right,20.0,20.095,18002.64
34252,PSS,WW,Brown,Right,20.0,20.094,17969.74
34252,PSS,WW,Brown,Left,20.0,20.087,18386.44
34252,PSS,EE,Brown,Left,20.0,20.008,17917.98
34252,PSS,EE,Brown,Right,20.0,20.024,18096.73
34252,PSS,EE,Brown,Left,20.0,20.005,18021.35
34252,PSS,EE,Brown,Right,20.0,20.02,18065.7
34252,PSS,WW,Brown,Right,20.0,20.068,17905.14
34252,PSS,WW,Brown,Left,20.0,20.012,18299.18
34252,PSS,WW,Brown,Left,20.0,20.012,18374.87
34252,PSS,WW,Brown,Right,20.0,20.074,17929.68
34252,PSS,EE,Brown,Right,20.0,20.053,17461.29
34252,PSS,EE,Brown,Left,20.0,20.033,17892.14
34252,PSS,EE,Brown,Left,20.0,20.03,17822.58
34252,PSS,EE,Brown,Right,20.0,20.051,17089.59
34252,PSS,WW,Brown,Right,20.0,20.085,17872.3
34252,PSS,WW,Brown,Left,20.0,20.077,18402.22
34252,PSS,WW,Brown,Right,20.0,20.087,17875.86
34252,PSS,WW,Brown,Left,20.0,20.075,18343.85
34252,PSS,EE,Brown,Left,20.0,20.248,18037.47
34252,PSS,EE,Brown,Right,20.0,20.128,18178.56
34252,PSS,EE,Brown,Right,20.0,20.129,18199.02
34252,PSS,EE,Brown,Left,20.0,20.243,18012.7
34252,PSS,WW,Brown,Left,20.0,20.111,18455.87
34252,PSS,WW,Brown,Left,20.0,20.111,18371.6
34252,PSS,WW,Brown,Right,20.0,20.054,22863.47
34252,PSS,WW,Brown,Right,20.0,20.05,22843.89
34252,PSS,EE,Brown,Left,20.0,20.129,18019.93
34252,PSS,EE,Brown,Left,20.0,20.129,17999.53
34252,PSS,WW,Brown,Right,20.0,20.115,22869.86
34252,PSS,WW,Brown,Right,20.0,20.116,22639.4
34252,PSS,WW,Brown,Left,20.0,20.119,18493.5
34252,PSS,WW,Brown,Left,20.0,20.117,18463.63
34252,PSS,EE,Brown,Right,20.0,20.101,17286.84
34252,PSS,EE,Brown,Left,20.0,20.044,17082.86
34252,PSS,EE,Brown,Left,20.0,20.047,17046.05
34252,PSS,EE,Brown,Right,20.0,20.094,17253.08
34252,PSS,WW,Brown,Left,20.0,20.071,17417.0
34252,PSS,WW,Brown,Right,20.0,20.02,18211.3
34252,PSS,WW,Brown,Right,20.0,20.017,17914.19
34252,PSS,WW,Brown,Left,20.0,20.066,17439.36
34252,PSS,EE,Brown,Right,20.0,20.04,17160.63
34252,PSS,EE,Brown,Left,20.0,20.036,17036.01
34252,PSS,EE,Brown,Left,20.0,20.037,17092.75
34252,PSS,EE,Brown,Right,20.0,20.039,17163.8
34252,PSS,WW,Brown,Right,20.0,20.056,17073.87
34252,PSS,WW,Brown,Right,20.0,20.053,19238.88
34252,PSS,WW,Brown,Left,20.0,20.054,17630.29
34252,PSS,WW,Brown,Left,20.0,20.073,17434.4
34252,PSS,EE,Brown,Left,20.0,20.08,17280.63
34252,PSS,EE,Brown,Left,20.0,20.084,17228.43
34252,PSS,EE,Brown,Right,20.0,19.996,16792.69
34252,PSS,WW,Brown,Right,20.0,20.107,17081.42
34252,PSS,WW,Brown,Left,20.0,20.058,17501.08
34252,PSS,WW,Brown,Left,20.0,20.063,17471.09
34252,PSS,WW,Brown,Right,20.0,20.101,17101.62
34252,PSS,EE,Brown,Right,20.0,20.011,17275.78
34252,PSS,EE,Brown,Left,20.0,20.023,17218.93
34252,PSS,EE,Brown,Left,20.0,20.039,17210.54
34252,PSS,EE,Brown,Right,20.0,20.012,17417.06
34252,PSS,WW,Brown,Left,20.0,20.041,17446.58
34252,PSS,WW,Brown,Left,20.0,20.039,17476.6
34252,PSS,WW,Brown,Right,20.0,20.036,17231.64
34252,PSS,WW,Brown,Right,20.0,20.037,18342.1
34332,2S,EE,Perugia,Right,20.0,20.0,18340.496
34332,2S,EE,Perugia,Left,20.0,20.0,18118.732
34332,2S,WW,Perugia,Right,20.0,20.0,18226.99
34332,2S,WW,Perugia,Left,20.0,20.0,18855.28
34332,2S,EE,Perugia,Left,20.0,20.0,18277.551
34332,2S,EE,Perugia,Right,20.0,20.0,18471.004
34332,2S,WW,Perugia,Right,20.0,20.0,18322.743
34332,2S,WW,Perugia,Left,20.0,20.0,18845.12
34332,2S,EE,Perugia,Left,20.0,20.0,18287.486
34332,2S,EE,Perugia,Right,20.0,20.0,18508.061
