batch_number,Type,Orientation,AGGREGATED_COND_DATA_SET_ID,PART_ID,PART_NAME_LABEL,VTH_V,PART_NAME_LABEL.1,KIND_OF_HM_FLUTE_ID,KIND_OF_HM_STRUCT_ID,KIND_OF_HM_CONFIG_ID,KIND_OF_HM_SET_ID,PROCEDURE_TYPE,EQUIPMENT,WAITING_TIME_S,AC_FREQ_HZ,AC_AMPL_V,CORR_OPEN_PFRD,TEMP_SET_DEGC,AV_TEMP_DEGC,FILE_NAME,Location
34252,PSS,WW,2046394,26265,34252_011_PSS_HM_WW,4.217,34252_011_PSS_HM_WW,PQC1,FET_PSS,Not Used,Left,FET1,PQC_HM_POSITION 2,0.01,,,,20.0,20.116,Test_HPK_VPX34252_011_PSS_HM_WW_West_South_PQC1_FET1_FETPSs_trans_Run01_09_02_2020_04_50_37_PM.txt,Brown
34252,PSS,EE,2048086,26266,34252_012_PSS_HM_EE,4.359,34252_012_PSS_HM_EE,PQC1,FET_PSS,Not Used,Left,FET1,PQC_HM_POSITION 3,0.01,,,,20.0,20.139,Test_HPK_VPX34252_012_PSS_HM_EE_East_North_PQC1_FET1_FETPSs_trans_Run01_09_02_2020_06_17_53_PM.txt,Brown
34252,PSS,EE,2050129,26266,34252_012_PSS_HM_EE,3.715,34252_012_PSS_HM_EE,PQC1,FET_PSS,Not Used,Right,FET1,PQC_HM_POSITION 3,0.01,,,,20.0,20.065,Test_HPK_VPX34252_012_PSS_HM_EE_East_South_PQC1_FET1_FETPSs_trans_Run01_09_02_2020_11_59_25_AM.txt,Brown
34252,PSS,WW,2046646,26271,34252_012_PSS_HM_WW,4.304,34252_012_PSS_HM_WW,PQC1,FET_PSS,Not Used,Left,FET1,PQC_HM_POSITION 4,0.01,,,,20.0,20.116,Test_HPK_VPX34252_012_PSS_HM_WW_West_South_PQC1_FET1_FETPSs_trans_Run01_09_02_2020_07_40_43_PM.txt,Brown
34252,PSS,WW,2048386,26271,34252_012_PSS_HM_WW,3.477,34252_012_PSS_HM_WW,PQC1,FET_PSS,Not Used,Right,FET1,PQC_HM_POSITION 4,0.01,,,,20.0,20.089,Test_HPK_VPX34252_012_PSS_HM_WW_West_North_PQC1_FET1_FETPSs_trans_Run02_09_02_2020_01_58_01_PM.txt,Brown
34252,PSS,EE,2046703,26284,34252_015_PSS_HM_EE,4.318,34252_015_PSS_HM_EE,PQC1,FET_PSS,Not Used,Right,FET1,PQC_HM_POSITION 1,0.01,,,,20.0,20.112,Test_HPK_VPX34252_015_PSS_HM_EE_East_South_PQC1_FET1_FETPSs_trans_Run01_08_25_2020_05_03_35_PM.txt,Brown
34252,PSS,EE,2050090,26284,34252_015_PSS_HM_EE,4.367,34252_015_PSS_HM_EE,PQC1,FET_PSS,Not Used,Left,FET1,PQC_HM_POSITION 1,0.01,,,,20.0,20.054,Test_HPK_VPX34252_015_PSS_HM_EE_East_North_PQC1_FET1_FETPSs_trans_Run01_08_26_2020_02_53_53_PM.txt,Brown
34252,PSS,WW,2046376,26289,34252_015_PSS_HM_WW,4.227,34252_015_PSS_HM_WW,PQC1,FET_PSS,Not Used,Left,FET1,PQC_HM_POSITION 2,0.01,,,,20.0,20.081,Test_HPK_VPX34252_015_PSS_HM_WW_West_South_PQC1_FET1_FETPSs_trans_Run01_08_26_2020_04_26_16_PM.txt,Brown
34252,PSS,WW,2049973,26289,34252_015_PSS_HM_WW,4.387,34252_015_PSS_HM_WW,PQC1,FET_PSS,Not Used,Right,FET1,PQC_HM_POSITION 2,0.01,,,,20.0,20.028,Test_HPK_VPX34252_015_PSS_HM_WW_West_North_PQC1_FET1_FETPSs_trans_Run01_08_25_2020_06_44_24_PM.txt,Brown
34252,PSS,EE,2046796,26290,34252_016_PSS_HM_EE,4.298,34252_016_PSS_HM_EE,PQC1,FET_PSS,Not Used,Right,FET1,PQC_HM_POSITION 3,0.01,,,,20.0,20.045,Test_HPK_VPX34252_016_PSS_HM_EE_East_South_PQC1_FET1_FETPSs_trans_Run01_08_26_2020_11_21_26_AM.txt,Brown
34252,PSS,EE,2048164,26290,34252_016_PSS_HM_EE,4.264,34252_016_PSS_HM_EE,PQC1,FET_PSS,Not Used,Left,FET1,PQC_HM_POSITION 3,0.01,,,,20.0,20.034,Test_HPK_VPX34252_016_PSS_HM_EE_East_North_PQC1_FET1_FETPSs_trans_Run01_08_27_2020_12_09_00_PM.txt,Brown
34252,PSS,WW,2048893,26295,34252_016_PSS_HM_WW,4.329,34252_016_PSS_HM_WW,PQC1,FET_PSS,Not Used,Right,FET1,PQC_HM_POSITION 4,0.01,,,,20.0,20.056,Test_HPK_VPX34252_016_PSS_HM_WW_West_North_PQC1_FET1_FETPSs_trans_Run01_08_26_2020_01_15_26_PM.txt,Brown
34252,PSS,WW,2049727,26295,34252_016_PSS_HM_WW,4.141,34252_016_PSS_HM_WW,PQC1,FET_PSS,Not Used,Left,FET1,PQC_HM_POSITION 4,0.01,,,,20.0,20.072,Test_HPK_VPX34252_016_PSS_HM_WW_West_South_PQC1_FET1_FETPSs_trans_Run01_08_27_2020_01_53_14_PM.txt,Brown
