batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,R_OHM
34330,2S,EE,Perugia,Left,,,3.9411815470000002
34330,2S,EE,Perugia,Right,,,3.979220073
34330,2S,WW,Perugia,Right,,,3.948436976
34330,2S,WW,Perugia,Left,,,4.012315228
34330,2S,EE,Perugia,Left,,,3.9171402360000003
34330,2S,EE,Perugia,Right,,,3.9755609169999997
34330,2S,WW,Perugia,Right,,,3.944645699
34330,2S,WW,Perugia,Left,,,4.004113670000001
34330,2S,EE,Perugia,Left,,,3.9340127750000002
34330,2S,EE,Perugia,Right,,,3.9718022740000003
34330,2S,WW,Perugia,Left,,,3.994014057
34330,2S,WW,Perugia,Right,,,3.947267933
34330,2S,EE,Perugia,Right,,,3.975278357
34330,2S,EE,Perugia,Left,,,3.907989574
34330,2S,WW,Perugia,Left,,,3.9958016240000003
34330,2S,WW,Perugia,Right,,,3.931514271
34330,2S,EE,Perugia,Left,,,3.93866129
34330,2S,EE,Perugia,Right,,,4.0034704780000006
34330,2S,WW,Perugia,Right,,,3.95177875
34330,2S,WW,Perugia,Left,,,4.006983345
34330,2S,EE,Perugia,Left,,,3.966594323
34330,2S,EE,Perugia,Right,,,4.018955597000001
34330,2S,WW,Perugia,Left,,,4.020220135
34330,2S,WW,Perugia,Right,,,3.95606779
34330,2S,EE,Perugia,Right,,,3.989575864
34330,2S,EE,Perugia,Left,,,5.367255078
34330,2S,EE,Perugia,Left,,,3.944124726
34330,2S,WW,Perugia,Left,,,4.014245812
34330,2S,WW,Perugia,Right,,,3.9359507629999997
34330,2S,EE,Perugia,Right,,,3.9794358940000003
34330,2S,EE,Perugia,Left,,,3.918658908
34330,2S,WW,Perugia,Right,,,3.951525481
34330,2S,WW,Perugia,Left,,,4.050769325
34330,2S,EE,Perugia,Right,,,3.994520489
34330,2S,EE,Perugia,Left,,,3.948404084
34330,2S,WW,Perugia,Left,,,4.031116614
34330,2S,WW,Perugia,Right,,,3.960489385
34330,2S,EE,Perugia,Right,,,3.806854661
34330,2S,EE,Perugia,Left,,,3.772825506
34330,2S,WW,Perugia,Left,,,3.825825954
34330,2S,WW,Perugia,Right,,,3.778162449
34330,2S,EE,Perugia,Left,,,3.76723648
34330,2S,EE,Perugia,Right,,,3.816324493
34330,2S,WW,Perugia,Left,,,3.8289167560000004
34330,2S,WW,Perugia,Right,,,3.773100778
34330,2S,EE,Perugia,Left,,,3.767472164
