batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,VTH_V,RSH_OHMSQR
34252,PSS,WW,Brown,Right,20.0,20.05,4.378,22.84389
34252,PSS,WW,Brown,Right,20.0,20.087,4.417,17.87586
34252,PSS,WW,Brown,Right,20.0,20.087,4.397,17.87586
34252,PSS,WW,Brown,Left,20.0,20.012,4.205,18.37487
34252,PSS,EE,Brown,Right,20.0,20.128,4.356,18.17856
34252,PSS,EE,Brown,Right,20.0,20.065,3.715,18.16786
34252,PSS,EE,Brown,Left,20.0,20.034,4.264,17.94867
34252,PSS,EE,Brown,Left,20.0,20.034,4.264,17.8323
34252,PSS,WW,Brown,Right,20.0,20.036,4.352,17.23164
34332,2S,EE,Perugia,Right,20.0,20.0,4.088,18.340496
34332,2S,EE,Perugia,Right,20.0,20.0,4.088,18.471004
34332,2S,EE,Perugia,Right,20.0,20.0,4.088,18.508061
34332,2S,EE,Perugia,Right,20.0,20.0,4.088,18.456299
34332,2S,EE,Perugia,Right,20.0,20.0,4.088,18.399828000000003
34332,2S,EE,Perugia,Right,20.0,20.0,4.088,18.577565
34332,2S,EE,Perugia,Right,20.0,20.0,4.088,18.523448
34332,2S,EE,Perugia,Right,20.0,20.0,4.088,18.669276000000004
34332,2S,EE,Perugia,Right,20.0,20.0,4.088,18.382727
34332,2S,EE,Perugia,Right,20.0,20.0,4.088,18.707431
34332,2S,EE,Perugia,Right,20.0,20.0,4.126,18.340496
34332,2S,EE,Perugia,Right,20.0,20.0,4.126,18.471004
34332,2S,EE,Perugia,Right,20.0,20.0,4.126,18.508061
34332,2S,EE,Perugia,Right,20.0,20.0,4.126,18.456299
34332,2S,EE,Perugia,Right,20.0,20.0,4.126,18.399828000000003
34332,2S,EE,Perugia,Right,20.0,20.0,4.126,18.577565
34332,2S,EE,Perugia,Right,20.0,20.0,4.126,18.523448
34332,2S,EE,Perugia,Right,20.0,20.0,4.126,18.669276000000004
34332,2S,EE,Perugia,Right,20.0,20.0,4.126,18.382727
34332,2S,EE,Perugia,Right,20.0,20.0,4.126,18.707431
34332,2S,EE,Perugia,Right,20.0,20.0,4.127,18.340496
34332,2S,EE,Perugia,Right,20.0,20.0,4.127,18.471004
34332,2S,EE,Perugia,Right,20.0,20.0,4.127,18.508061
34332,2S,EE,Perugia,Right,20.0,20.0,4.127,18.456299
34332,2S,EE,Perugia,Right,20.0,20.0,4.127,18.399828000000003
34332,2S,EE,Perugia,Right,20.0,20.0,4.127,18.577565
34332,2S,EE,Perugia,Right,20.0,20.0,4.127,18.523448
34332,2S,EE,Perugia,Right,20.0,20.0,4.127,18.669276000000004
34332,2S,EE,Perugia,Right,20.0,20.0,4.127,18.382727
34332,2S,EE,Perugia,Right,20.0,20.0,4.127,18.707431
34332,2S,EE,Perugia,Right,20.0,20.0,4.088,18.340496
34332,2S,EE,Perugia,Right,20.0,20.0,4.088,18.471004
34332,2S,EE,Perugia,Right,20.0,20.0,4.088,18.508061
