batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,RSH_OHMSQR
34252,PSS,EE,Brown,Right,20.0,20.222,18.18252
34252,PSS,EE,Brown,Left,20.0,20.068,17.86843
34252,PSS,WW,Brown,Left,20.0,20.06,18.42628
34252,PSS,WW,Brown,Right,20.0,20.018,17.95289
34252,PSS,EE,Brown,Right,20.0,20.065,18.16786
34252,PSS,EE,Brown,Left,20.0,20.059,17.889380000000003
34252,PSS,WW,Brown,Right,20.0,20.026,17.993720000000003
34252,PSS,WW,Brown,Left,20.0,20.095,18.40895
34252,PSS,EE,Brown,Right,20.0,20.043,18.15298
34252,PSS,EE,Brown,Left,20.0,20.034,17.94867
34252,PSS,WW,Brown,Right,20.0,20.066,17.98504
34252,PSS,WW,Brown,Left,20.0,20.022,18.47059
34252,PSS,EE,Brown,Left,20.0,20.034,17.8323
34252,PSS,WW,Brown,Right,20.0,20.26,17.92194
34252,PSS,WW,Brown,Left,20.0,20.083,18.20753
34252,PSS,EE,Brown,Right,20.0,20.007,18.10996
34252,PSS,EE,Brown,Left,20.0,20.078,17.927560000000003
34252,PSS,WW,Brown,Right,20.0,20.072,17.8609
34252,PSS,WW,Brown,Left,20.0,20.095,18.37874
34252,PSS,EE,Brown,Left,20.0,20.115,17.88617
34252,PSS,EE,Brown,Right,20.0,20.161,18.17427
34252,PSS,WW,Brown,Right,20.0,20.094,17.96974
34252,PSS,WW,Brown,Left,20.0,20.087,18.38644
34252,PSS,EE,Brown,Left,20.0,20.008,17.91798
34252,PSS,EE,Brown,Right,20.0,20.024,18.09673
34252,PSS,WW,Brown,Right,20.0,20.068,17.90514
34252,PSS,WW,Brown,Left,20.0,20.012,18.374869999999998
34252,PSS,EE,Brown,Left,20.0,20.03,17.822580000000002
34252,PSS,EE,Brown,Right,20.0,20.051,17.08959
34252,PSS,WW,Brown,Left,20.0,20.077,18.40222
34252,PSS,WW,Brown,Right,20.0,20.087,17.87586
34252,PSS,EE,Brown,Right,20.0,20.128,18.17856
34252,PSS,EE,Brown,Left,20.0,20.243,18.012700000000002
34252,PSS,WW,Brown,Left,20.0,20.111,18.45587
34252,PSS,WW,Brown,Right,20.0,20.05,22.84389
34252,PSS,EE,Brown,Left,20.0,20.129,17.99953
34252,PSS,WW,Brown,Right,20.0,20.115,22.869860000000003
34252,PSS,WW,Brown,Left,20.0,20.119,18.4935
34252,PSS,EE,Brown,Left,20.0,20.044,17.08286
34252,PSS,EE,Brown,Right,20.0,20.094,17.25308
34252,PSS,WW,Brown,Right,20.0,20.017,17.914189999999998
34252,PSS,WW,Brown,Left,20.0,20.066,17.43936
34252,PSS,EE,Brown,Left,20.0,20.036,17.036009999999997
34252,PSS,EE,Brown,Right,20.0,20.039,17.1638
34252,PSS,WW,Brown,Right,20.0,20.053,19.23888
34252,PSS,WW,Brown,Left,20.0,20.054,17.630290000000002
34252,PSS,EE,Brown,Left,20.0,20.084,17.22843
34252,PSS,WW,Brown,Right,20.0,20.107,17.081419999999998
34252,PSS,WW,Brown,Left,20.0,20.058,17.50108
34252,PSS,EE,Brown,Left,20.0,20.039,17.21054
34252,PSS,EE,Brown,Right,20.0,20.012,17.417060000000003
34252,PSS,WW,Brown,Left,20.0,20.039,17.476599999999998
34252,PSS,WW,Brown,Right,20.0,20.036,17.23164
34332,2S,EE,Perugia,Right,20.0,20.0,18.340495999999998
34332,2S,EE,Perugia,Left,20.0,20.0,18.118732
34332,2S,WW,Perugia,Right,20.0,20.0,18.22699
34332,2S,WW,Perugia,Left,20.0,20.0,18.85528
34332,2S,EE,Perugia,Left,20.0,20.0,18.277551
34332,2S,EE,Perugia,Right,20.0,20.0,18.471004
34332,2S,WW,Perugia,Right,20.0,20.0,18.322743
34332,2S,WW,Perugia,Left,20.0,20.0,18.845119999999998
34332,2S,EE,Perugia,Left,20.0,20.0,18.287486
34332,2S,EE,Perugia,Right,20.0,20.0,18.508061
34332,2S,WW,Perugia,Left,20.0,20.0,18.844616000000002
34332,2S,WW,Perugia,Right,20.0,20.0,18.293459
34332,2S,EE,Perugia,Left,20.0,20.0,18.200329000000004
34332,2S,EE,Perugia,Right,20.0,20.0,18.456298999999998
34332,2S,WW,Perugia,Right,20.0,20.0,18.250409
34332,2S,WW,Perugia,Left,20.0,20.0,18.767566
34332,2S,EE,Perugia,Left,20.0,20.0,18.130336
34332,2S,EE,Perugia,Right,20.0,20.0,18.399828000000003
34332,2S,WW,Perugia,Right,20.0,20.0,18.233342
34332,2S,WW,Perugia,Left,20.0,20.0,18.598719000000003
34332,2S,EE,Perugia,Left,20.0,20.0,18.224549
34332,2S,EE,Perugia,Right,20.0,20.0,18.577565
34332,2S,WW,Perugia,Right,20.0,20.0,18.366353
34332,2S,WW,Perugia,Left,20.0,20.0,18.738781
34332,2S,EE,Perugia,Right,20.0,20.0,18.523448000000002
34332,2S,WW,Perugia,Left,20.0,20.0,19.056278
34332,2S,WW,Perugia,Right,20.0,20.0,18.256883000000002
34332,2S,EE,Perugia,Left,20.0,20.0,18.29921
34332,2S,EE,Perugia,Right,20.0,20.0,18.669276000000004
34332,2S,WW,Perugia,Left,20.0,20.0,19.004084
34332,2S,WW,Perugia,Right,20.0,20.0,18.419354
34332,2S,EE,Perugia,Right,20.0,20.0,18.382727
34332,2S,EE,Perugia,Left,20.0,20.0,18.161133000000003
34332,2S,WW,Perugia,Left,20.0,20.0,19.335809
34332,2S,WW,Perugia,Right,20.0,20.0,18.252867
34332,2S,EE,Perugia,Right,20.0,20.0,18.707431
34332,2S,EE,Perugia,Left,20.0,20.0,18.532765
34332,2S,WW,Perugia,Right,20.0,20.0,18.465808000000003
34332,2S,WW,Perugia,Left,20.0,20.0,19.222913000000002
34346,2S,EE,Perugia,Right,20.0,20.0,18.591076
34346,2S,EE,Perugia,Left,20.0,20.0,18.471647
34346,2S,WW,Perugia,Right,20.0,20.0,18.486382000000003
34346,2S,WW,Perugia,Left,20.0,20.0,18.671043
34346,2S,EE,Perugia,Right,20.0,20.0,18.5497
34346,2S,EE,Perugia,Left,20.0,20.0,18.35921
34346,2S,WW,Perugia,Left,20.0,20.0,18.588654
34346,2S,WW,Perugia,Right,20.0,20.0,18.521618
34346,2S,EE,Perugia,Right,20.0,20.0,18.536406
34346,2S,EE,Perugia,Left,20.0,20.0,18.438119999999998
34346,2S,WW,Perugia,Right,20.0,20.0,18.532861
34346,2S,WW,Perugia,Left,20.0,20.0,18.615852
34346,2S,EE,Perugia,Left,20.0,20.0,18.462784
34346,2S,EE,Perugia,Right,20.0,20.0,18.563383
34346,2S,WW,Perugia,Left,20.0,20.0,18.647633000000003
34346,2S,EE,Perugia,Right,20.0,20.0,18.589906
34346,2S,EE,Perugia,Left,20.0,20.0,18.508143
34346,2S,WW,Perugia,Left,20.0,20.0,18.653418000000002
34346,2S,WW,Perugia,Right,20.0,20.0,18.539206999999998
34346,2S,EE,Perugia,Left,20.0,20.0,18.446416000000003
34346,2S,EE,Perugia,Right,20.0,20.0,18.507579000000003
34346,2S,WW,Perugia,Right,20.0,20.0,18.411498
34346,2S,WW,Perugia,Left,20.0,20.0,18.502727
34346,2S,EE,Perugia,Right,20.0,20.0,18.519902
34346,2S,EE,Perugia,Left,20.0,20.0,18.285244
34346,2S,WW,Perugia,Left,20.0,20.0,18.452107
34346,2S,WW,Perugia,Right,20.0,20.0,18.285696
34346,2S,EE,Perugia,Left,20.0,20.0,18.291679000000002
34346,2S,EE,Perugia,Right,20.0,20.0,18.366462
34346,2S,WW,Perugia,Right,20.0,20.0,18.239798999999998
34346,2S,WW,Perugia,Left,20.0,20.0,18.291563
34346,2S,EE,Perugia,Left,20.0,20.0,18.238149
34346,2S,EE,Perugia,Right,20.0,20.0,18.401152999999997
34346,2S,WW,Perugia,Right,20.0,20.0,18.243481
34346,2S,WW,Perugia,Left,20.0,20.0,18.289901
34346,2S,EE,Perugia,Left,20.0,20.0,18.119244
34346,2S,EE,Perugia,Right,20.0,20.0,18.275309
