Name,Type,Average,Std.dev
35715,2S,3287,112
35716,2S,3579,90
35720,2S,3531,342
35721,2S,3579,90
35497,PS-p,3010,30
35498,PS-p,3320,60
35954,PS-s,3484,110
35955,PS-s,3453,41
36243,2S,3073,52
36244,2S,2955,55
36232,PS-p,2840,130
36233,PS-p,2760,80
36234,PS-p,2730,60
36235,PS-p,3070,140
36793,PS-s,3633,100
36794,PS-s,3685,110
37077,PS-s,3424,90
37078,PS-s,3450,170
37400,2S,3563,113
37401,2S,3618,119
37408,2S,3610,170
37897,2S,3730,60
37904,2S,3900,130
37905,2S,3960,100
38196,2S,3820,80
38199,2S,4370,280
38714,2S,3920,60
38715,2S,4430,30
38869,2S,4370,120
38870,2S,4270,90
