batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,R_OHM
34330,2S,EE,Perugia,Left,,,78.984789769
34330,2S,EE,Perugia,Right,,,77.692538459
34330,2S,WW,Perugia,Left,,,75.438474085
34330,2S,WW,Perugia,Left,,,77.761598321
34330,2S,EE,Perugia,Left,,,81.105285096
34330,2S,EE,Perugia,Right,,,78.558481805
34330,2S,WW,Perugia,Right,,,74.547861462
34330,2S,EE,Perugia,Left,,,78.049173704
34330,2S,EE,Perugia,Right,,,78.203203931
34330,2S,WW,Perugia,Left,,,76.58638879899999
34330,2S,WW,Perugia,Right,,,74.27924234
34330,2S,EE,Perugia,Right,,,79.43579927600001
34330,2S,EE,Perugia,Left,,,79.634897857
34330,2S,WW,Perugia,Right,,,75.752727311
34330,2S,WW,Perugia,Left,,,78.65055522
34330,2S,EE,Perugia,Left,,,78.598517671
34330,2S,EE,Perugia,Right,,,77.208535772
34330,2S,WW,Perugia,Right,,,75.654051127
34330,2S,WW,Perugia,Left,,,78.659348748
34330,2S,WW,Perugia,Left,,,77.395288787
34330,2S,WW,Perugia,Right,,,74.696542195
34330,2S,EE,Perugia,Right,,,79.16264624200001
34330,2S,EE,Perugia,Left,,,80.669655805
34330,2S,EE,Perugia,Left,,,68.191029423
34330,2S,EE,Perugia,Right,,,66.63972269
34330,2S,WW,Perugia,Right,,,66.18247395
34330,2S,WW,Perugia,Left,,,67.941225104
34330,2S,EE,Perugia,Right,,,66.618816434
34330,2S,EE,Perugia,Left,,,66.84482733
34330,2S,WW,Perugia,Left,,,66.050121724
34330,2S,WW,Perugia,Right,,,65.379259925
34330,2S,EE,Perugia,Right,,,66.073587414
34330,2S,WW,Perugia,Right,,,66.04398859999999
34330,2S,WW,Perugia,Left,,,68.21376375
34252,PSS,EE,Brown,Left,20.0,20.054,72.94549
34252,PSS,EE,Brown,Right,20.0,20.001,65.8518
34252,PSS,WW,Brown,Left,20.0,20.081,71.6272
34252,PSS,WW,Brown,Right,20.0,20.014,71.86276
34252,PSS,EE,Brown,Left,20.0,20.032,76.99098
34252,PSS,EE,Brown,Right,20.0,20.098,76.85419
34252,PSS,WW,Brown,Right,20.0,20.008,75.84281
34252,PSS,WW,Brown,Left,20.0,20.042,76.21309
34252,PSS,EE,Brown,Left,20.0,20.015,76.74031
34252,PSS,EE,Brown,Right,20.0,20.001,76.18783
34252,PSS,WW,Brown,Left,20.0,20.058,75.62257000000001
34252,PSS,WW,Brown,Right,20.0,20.004,66.30268
34252,PSS,EE,Brown,Left,20.0,20.068,76.12766
34252,PSS,EE,Brown,Right,20.0,20.027,75.54476
34252,PSS,WW,Brown,Right,20.0,20.003,75.17744
34252,PSS,WW,Brown,Left,20.0,20.062,75.25282000000001
34252,PSS,EE,Brown,Left,20.0,20.098,76.80096
34252,PSS,EE,Brown,Right,20.0,20.03,76.18597
34252,PSS,WW,Brown,Left,20.0,20.132,74.88982000000001
34252,PSS,WW,Brown,Right,20.0,20.067,74.83089
34252,PSS,EE,Brown,Right,20.0,20.116,77.23866000000001
34252,PSS,EE,Brown,Left,20.0,20.091,77.73152
34252,PSS,WW,Brown,Left,20.0,20.104,76.05016
34252,PSS,WW,Brown,Right,20.0,20.063,75.36330000000001
34252,PSS,EE,Brown,Left,20.0,20.011,76.35401
34252,PSS,EE,Brown,Right,20.0,20.044,76.28521
34252,PSS,WW,Brown,Right,20.0,20.067,74.73946000000001
34252,PSS,WW,Brown,Left,20.0,20.061,74.83036
34252,PSS,EE,Brown,Left,20.0,20.099,78.78339
34252,PSS,EE,Brown,Right,20.0,20.106,76.18689
34252,PSS,WW,Brown,Left,20.0,20.105,75.85884
34252,PSS,WW,Brown,Right,20.0,20.051,75.92272
34252,PSS,EE,Brown,Left,20.0,20.172,76.11712
34252,PSS,EE,Brown,Right,20.0,20.066,75.83121000000001
34252,PSS,WW,Brown,Left,20.0,20.184,75.26808
34252,PSS,WW,Brown,Right,20.0,20.078,74.95686
34252,PSS,EE,Brown,Right,20.0,20.099,68.74142
34252,PSS,EE,Brown,Left,20.0,20.146,79.03618
34252,PSS,WW,Brown,Right,20.0,20.069,72.20845
34252,PSS,WW,Brown,Left,20.0,20.123,76.61363
34252,PSS,EE,Brown,Right,20.0,20.028,67.33128
34252,PSS,EE,Brown,Left,20.0,20.109,67.73233
34252,PSS,WW,Brown,Right,20.0,20.042,66.87477000000001
34252,PSS,WW,Brown,Left,20.0,20.087,66.31855
34252,PSS,EE,Brown,Left,20.0,20.093,68.02907
34252,PSS,EE,Brown,Right,20.0,20.086,67.77046000000001
34252,PSS,WW,Brown,Right,20.0,20.049,66.78363
34252,PSS,WW,Brown,Left,20.0,20.08,66.90178
34252,PSS,EE,Brown,Left,20.0,20.062,67.9357
34252,PSS,EE,Brown,Right,20.0,20.018,67.79726
34252,PSS,WW,Brown,Right,20.0,20.024,66.63856
34252,PSS,WW,Brown,Left,20.0,20.076,66.60083999999999
34252,PSS,EE,Brown,Right,20.0,20.068,68.3271
34252,PSS,EE,Brown,Left,20.0,20.034,68.06696000000001
34252,PSS,WW,Brown,Right,20.0,20.031,67.32038
34252,PSS,WW,Brown,Left,20.0,20.049,66.92767
34332,2S,EE,Perugia,Left,20.0,20.0,84.570323855
34332,2S,EE,Perugia,Right,20.0,20.0,83.325867743
34332,2S,WW,Perugia,Right,20.0,20.0,80.69275479000001
34332,2S,WW,Perugia,Left,20.0,20.0,82.730302275
34332,2S,EE,Perugia,Left,20.0,20.0,85.506118798
34332,2S,EE,Perugia,Right,20.0,20.0,83.95701044500001
34332,2S,WW,Perugia,Right,20.0,20.0,80.572840213
34332,2S,WW,Perugia,Left,20.0,20.0,84.910201626
