Extended_Flutes_27-Jan-21_1:41:41 PM	Left_PQC1_FETPSs_trans	
Temperature(C)= 20.7	Humidity(%)= 23.0	Bias(V)= 100.000E-3
Current_Limit(A) = 10.000E-6	Settling_time(s) = 0.5	
		
Voltage (V)	Current (A)
-5.000E+0	802.880E-15
-4.900E+0	708.750E-15
-4.800E+0	681.490E-15
-4.700E+0	680.090E-15
-4.600E+0	675.700E-15
-4.500E+0	677.220E-15
-4.400E+0	680.960E-15
-4.300E+0	683.230E-15
-4.200E+0	685.400E-15
-4.100E+0	685.370E-15
-4.000E+0	683.110E-15
-3.900E+0	687.600E-15
-3.800E+0	690.780E-15
-3.700E+0	694.620E-15
-3.600E+0	700.260E-15
-3.500E+0	701.750E-15
-3.400E+0	706.930E-15
-3.300E+0	704.680E-15
-3.200E+0	710.730E-15
-3.100E+0	715.950E-15
-3.000E+0	719.830E-15
-2.900E+0	727.510E-15
-2.800E+0	738.110E-15
-2.700E+0	746.210E-15
-2.600E+0	757.280E-15
-2.500E+0	779.180E-15
-2.400E+0	816.250E-15
-2.300E+0	889.020E-15
-2.200E+0	1.017E-12
-2.100E+0	1.177E-12
-2.000E+0	1.288E-12
-1.900E+0	1.356E-12
-1.800E+0	1.384E-12
-1.700E+0	1.403E-12
-1.600E+0	1.402E-12
-1.500E+0	1.395E-12
-1.400E+0	1.396E-12
-1.300E+0	1.383E-12
-1.200E+0	1.369E-12
-1.100E+0	1.364E-12
-1.000E+0	1.362E-12
-900.000E-3	1.356E-12
-800.000E-3	1.354E-12
-700.000E-3	1.352E-12
-600.000E-3	1.346E-12
-500.000E-3	1.348E-12
-400.000E-3	1.352E-12
-300.000E-3	1.352E-12
-200.000E-3	1.347E-12
-100.000E-3	1.350E-12
0.000E+0	1.364E-12
100.000E-3	1.354E-12
200.000E-3	1.358E-12
300.000E-3	1.351E-12
400.000E-3	1.351E-12
500.000E-3	1.352E-12
600.000E-3	1.358E-12
700.000E-3	1.351E-12
800.000E-3	1.358E-12
900.000E-3	1.357E-12
1.000E+0	1.361E-12
1.100E+0	1.360E-12
1.200E+0	1.364E-12
1.300E+0	1.360E-12
1.400E+0	1.365E-12
1.500E+0	1.368E-12
1.600E+0	1.374E-12
1.700E+0	1.383E-12
1.800E+0	1.393E-12
1.900E+0	1.414E-12
2.000E+0	1.450E-12
2.100E+0	1.505E-12
2.200E+0	1.592E-12
2.300E+0	1.739E-12
2.400E+0	2.011E-12
2.500E+0	2.463E-12
2.600E+0	3.348E-12
2.700E+0	5.135E-12
2.800E+0	9.146E-12
2.900E+0	18.739E-12
3.000E+0	44.919E-12
3.100E+0	113.881E-12
3.200E+0	874.105E-12
3.300E+0	1.055E-9
3.400E+0	2.805E-9
3.500E+0	6.949E-9
3.600E+0	15.908E-9
3.700E+0	34.019E-9
3.800E+0	67.351E-9
3.900E+0	125.247E-9
4.000E+0	216.585E-9
4.100E+0	355.205E-9
4.200E+0	548.419E-9
4.300E+0	797.652E-9
4.400E+0	1.099E-6
4.500E+0	1.437E-6
4.600E+0	1.798E-6
4.700E+0	2.157E-6
4.800E+0	2.513E-6
4.900E+0	2.849E-6
5.000E+0	3.167E-6
5.100E+0	3.464E-6
5.200E+0	3.742E-6
5.300E+0	4.000E-6
5.400E+0	4.244E-6
5.500E+0	4.471E-6
5.600E+0	4.686E-6
5.700E+0	4.890E-6
5.800E+0	5.084E-6
5.900E+0	5.269E-6
6.000E+0	5.444E-6
6.100E+0	5.615E-6
6.200E+0	5.780E-6
6.300E+0	5.938E-6
6.400E+0	6.090E-6
6.500E+0	6.234E-6
6.600E+0	6.376E-6
6.700E+0	6.518E-6
6.800E+0	6.655E-6
6.900E+0	6.786E-6
7.000E+0	6.916E-6
7.100E+0	7.044E-6
7.200E+0	7.169E-6
7.300E+0	7.291E-6
7.400E+0	7.411E-6
7.500E+0	7.530E-6
7.600E+0	7.646E-6
7.700E+0	7.761E-6
7.800E+0	7.872E-6
7.900E+0	7.988E-6
8.000E+0	8.092E-6
8.100E+0	8.200E-6
8.200E+0	8.312E-6
8.300E+0	8.414E-6
8.400E+0	8.520E-6
8.500E+0	8.625E-6
8.600E+0	8.727E-6
8.700E+0	8.825E-6
8.800E+0	8.925E-6
8.900E+0	9.025E-6
