Extended_Flutes_25-Jan-21_2:57:25 PM	Left_PQC1_FETPSs_trans	
Temperature(C)= 20.8	Humidity(%)= 26.4	Bias(V)= 100.000E-3
Current_Limit(A) = 10.000E-6	Settling_time(s) = 0.5	
		
Voltage (V)	Current (A)
-5.000E+0	8.014E-12
-4.900E+0	25.500E-12
-4.800E+0	28.346E-12
-4.700E+0	29.204E-12
-4.600E+0	29.462E-12
-4.500E+0	29.521E-12
-4.400E+0	29.488E-12
-4.300E+0	29.827E-12
-4.200E+0	30.066E-12
-4.100E+0	30.371E-12
-4.000E+0	30.557E-12
-3.900E+0	30.865E-12
-3.800E+0	31.112E-12
-3.700E+0	31.472E-12
-3.600E+0	31.811E-12
-3.500E+0	32.168E-12
-3.400E+0	32.761E-12
-3.300E+0	33.448E-12
-3.200E+0	34.244E-12
-3.100E+0	35.467E-12
-3.000E+0	37.151E-12
-2.900E+0	40.194E-12
-2.800E+0	45.036E-12
-2.700E+0	53.341E-12
-2.600E+0	65.610E-12
-2.500E+0	80.451E-12
-2.400E+0	95.808E-12
-2.300E+0	108.460E-12
-2.200E+0	116.278E-12
-2.100E+0	118.025E-12
-2.000E+0	114.091E-12
-1.900E+0	108.202E-12
-1.800E+0	102.131E-12
-1.700E+0	97.064E-12
-1.600E+0	93.157E-12
-1.500E+0	90.435E-12
-1.400E+0	88.415E-12
-1.300E+0	86.817E-12
-1.200E+0	85.743E-12
-1.100E+0	84.832E-12
-1.000E+0	84.649E-12
-900.000E-3	84.215E-12
-800.000E-3	83.984E-12
-700.000E-3	83.618E-12
-600.000E-3	83.486E-12
-500.000E-3	83.434E-12
-400.000E-3	83.141E-12
-300.000E-3	82.858E-12
-200.000E-3	82.382E-12
-100.000E-3	81.779E-12
0.000E+0	81.539E-12
100.000E-3	81.072E-12
200.000E-3	81.600E-12
300.000E-3	81.828E-12
400.000E-3	81.983E-12
500.000E-3	81.905E-12
600.000E-3	81.930E-12
700.000E-3	82.174E-12
800.000E-3	82.053E-12
900.000E-3	82.056E-12
1.000E+0	82.269E-12
1.100E+0	82.682E-12
1.200E+0	83.126E-12
1.300E+0	83.994E-12
1.400E+0	85.691E-12
1.500E+0	88.442E-12
1.600E+0	92.850E-12
1.700E+0	100.244E-12
1.800E+0	112.227E-12
1.900E+0	131.635E-12
2.000E+0	162.091E-12
2.100E+0	614.890E-12
2.200E+0	307.159E-12
2.300E+0	429.005E-12
2.400E+0	615.689E-12
2.500E+0	866.059E-12
2.600E+0	1.194E-9
2.700E+0	1.634E-9
2.800E+0	2.203E-9
2.900E+0	2.998E-9
3.000E+0	4.293E-9
3.100E+0	6.527E-9
3.200E+0	10.906E-9
3.300E+0	19.492E-9
3.400E+0	36.111E-9
3.500E+0	66.383E-9
3.600E+0	118.207E-9
3.700E+0	202.239E-9
3.800E+0	324.599E-9
3.900E+0	499.576E-9
4.000E+0	727.246E-9
4.100E+0	1.006E-6
4.200E+0	1.325E-6
4.300E+0	1.667E-6
4.400E+0	2.018E-6
4.500E+0	2.361E-6
4.600E+0	2.693E-6
4.700E+0	3.005E-6
4.800E+0	3.300E-6
4.900E+0	3.575E-6
5.000E+0	3.834E-6
5.100E+0	4.075E-6
5.200E+0	4.300E-6
5.300E+0	4.514E-6
5.400E+0	4.714E-6
5.500E+0	4.906E-6
5.600E+0	5.088E-6
5.700E+0	5.263E-6
5.800E+0	5.430E-6
5.900E+0	5.591E-6
6.000E+0	5.744E-6
6.100E+0	5.893E-6
6.200E+0	6.039E-6
6.300E+0	6.178E-6
6.400E+0	6.319E-6
6.500E+0	6.449E-6
6.600E+0	6.581E-6
6.700E+0	6.707E-6
6.800E+0	6.830E-6
6.900E+0	6.954E-6
7.000E+0	7.075E-6
7.100E+0	7.190E-6
7.200E+0	7.308E-6
7.300E+0	7.418E-6
7.400E+0	7.531E-6
7.500E+0	7.640E-6
7.600E+0	7.749E-6
7.700E+0	7.854E-6
7.800E+0	7.959E-6
7.900E+0	8.062E-6
8.000E+0	8.167E-6
8.100E+0	8.266E-6
8.200E+0	8.366E-6
8.300E+0	8.466E-6
8.400E+0	8.567E-6
8.500E+0	8.664E-6
8.600E+0	8.764E-6
8.700E+0	8.855E-6
8.800E+0	8.949E-6
8.900E+0	9.045E-6
