Extended_Flutes_28-Jan-21_5:39:13 PM	Left_PQC1_FETPSs_trans	
Temperature(C)= 20.8	Humidity(%)= 21.4	Bias(V)= 100.000E-3
Current_Limit(A) = 10.000E-6	Settling_time(s) = 0.5	
		
Voltage (V)	Current (A)
-5.000E+0	812.210E-15
-4.900E+0	666.730E-15
-4.800E+0	633.390E-15
-4.700E+0	632.100E-15
-4.600E+0	625.520E-15
-4.500E+0	630.560E-15
-4.400E+0	630.040E-15
-4.300E+0	629.630E-15
-4.200E+0	636.110E-15
-4.100E+0	639.550E-15
-4.000E+0	641.970E-15
-3.900E+0	637.750E-15
-3.800E+0	642.710E-15
-3.700E+0	650.370E-15
-3.600E+0	652.580E-15
-3.500E+0	657.050E-15
-3.400E+0	661.620E-15
-3.300E+0	663.870E-15
-3.200E+0	666.980E-15
-3.100E+0	674.070E-15
-3.000E+0	679.330E-15
-2.900E+0	689.630E-15
-2.800E+0	700.460E-15
-2.700E+0	722.910E-15
-2.600E+0	761.260E-15
-2.500E+0	837.660E-15
-2.400E+0	975.730E-15
-2.300E+0	1.124E-12
-2.200E+0	1.225E-12
-2.100E+0	1.284E-12
-2.000E+0	1.318E-12
-1.900E+0	1.340E-12
-1.800E+0	1.358E-12
-1.700E+0	1.367E-12
-1.600E+0	1.373E-12
-1.500E+0	1.372E-12
-1.400E+0	1.363E-12
-1.300E+0	1.351E-12
-1.200E+0	-85.263E-12
-1.100E+0	-9.231E-12
-1.000E+0	-395.650E-15
-900.000E-3	1.056E-12
-800.000E-3	1.294E-12
-700.000E-3	1.333E-12
-600.000E-3	1.338E-12
-500.000E-3	1.340E-12
-400.000E-3	1.335E-12
-300.000E-3	1.338E-12
-200.000E-3	1.335E-12
-100.000E-3	1.340E-12
0.000E+0	1.349E-12
100.000E-3	1.338E-12
200.000E-3	1.337E-12
300.000E-3	1.337E-12
400.000E-3	1.339E-12
500.000E-3	1.334E-12
600.000E-3	1.337E-12
700.000E-3	1.343E-12
800.000E-3	1.344E-12
900.000E-3	1.343E-12
1.000E+0	1.344E-12
1.100E+0	1.350E-12
1.200E+0	1.353E-12
1.300E+0	1.356E-12
1.400E+0	1.369E-12
1.500E+0	1.383E-12
1.600E+0	1.408E-12
1.700E+0	1.440E-12
1.800E+0	1.495E-12
1.900E+0	1.608E-12
2.000E+0	1.786E-12
2.100E+0	2.115E-12
2.200E+0	2.758E-12
2.300E+0	4.083E-12
2.400E+0	7.255E-12
2.500E+0	15.405E-12
2.600E+0	40.747E-12
2.700E+0	105.326E-12
2.800E+0	847.008E-12
2.900E+0	1.049E-9
3.000E+0	2.842E-9
3.100E+0	7.144E-9
3.200E+0	16.616E-9
3.300E+0	35.539E-9
3.400E+0	70.666E-9
3.500E+0	131.357E-9
3.600E+0	225.894E-9
3.700E+0	367.932E-9
3.800E+0	562.622E-9
3.900E+0	811.869E-9
4.000E+0	1.108E-6
4.100E+0	1.438E-6
4.200E+0	1.785E-6
4.300E+0	2.131E-6
4.400E+0	2.469E-6
4.500E+0	2.790E-6
4.600E+0	3.092E-6
4.700E+0	3.375E-6
4.800E+0	3.640E-6
4.900E+0	3.887E-6
5.000E+0	4.120E-6
5.100E+0	4.339E-6
5.200E+0	4.544E-6
5.300E+0	4.743E-6
5.400E+0	4.929E-6
5.500E+0	5.108E-6
5.600E+0	5.279E-6
5.700E+0	5.443E-6
5.800E+0	5.603E-6
5.900E+0	5.754E-6
6.000E+0	5.902E-6
6.100E+0	6.048E-6
6.200E+0	6.187E-6
6.300E+0	6.322E-6
6.400E+0	6.454E-6
6.500E+0	6.583E-6
6.600E+0	6.710E-6
6.700E+0	6.835E-6
6.800E+0	6.957E-6
6.900E+0	7.078E-6
7.000E+0	7.196E-6
7.100E+0	7.309E-6
7.200E+0	7.425E-6
7.300E+0	7.536E-6
7.400E+0	7.650E-6
7.500E+0	7.757E-6
7.600E+0	7.863E-6
7.700E+0	7.970E-6
7.800E+0	8.074E-6
7.900E+0	8.177E-6
8.000E+0	8.280E-6
8.100E+0	8.380E-6
8.200E+0	8.481E-6
8.300E+0	8.582E-6
8.400E+0	8.682E-6
8.500E+0	8.780E-6
8.600E+0	8.877E-6
8.700E+0	8.968E-6
8.800E+0	9.059E-6
