Extended_Flutes_27-Jan-21_12:26:52 PM	Left_PQC1_FETPSs_trans	
Temperature(C)= 20.5	Humidity(%)= 25.2	Bias(V)= 100.000E-3
Current_Limit(A) = 10.000E-6	Settling_time(s) = 0.5	
		
Voltage (V)	Current (A)
-5.000E+0	841.650E-15
-4.900E+0	702.050E-15
-4.800E+0	677.350E-15
-4.700E+0	674.510E-15
-4.600E+0	679.310E-15
-4.500E+0	684.690E-15
-4.400E+0	691.330E-15
-4.300E+0	689.770E-15
-4.200E+0	699.630E-15
-4.100E+0	703.950E-15
-4.000E+0	702.300E-15
-3.900E+0	713.780E-15
-3.800E+0	717.560E-15
-3.700E+0	719.360E-15
-3.600E+0	726.330E-15
-3.500E+0	728.400E-15
-3.400E+0	731.280E-15
-3.300E+0	738.300E-15
-3.200E+0	745.550E-15
-3.100E+0	748.110E-15
-3.000E+0	758.820E-15
-2.900E+0	767.720E-15
-2.800E+0	775.950E-15
-2.700E+0	788.980E-15
-2.600E+0	812.170E-15
-2.500E+0	851.780E-15
-2.400E+0	918.770E-15
-2.300E+0	1.051E-12
-2.200E+0	1.196E-12
-2.100E+0	1.304E-12
-2.000E+0	1.374E-12
-1.900E+0	1.409E-12
-1.800E+0	1.429E-12
-1.700E+0	1.445E-12
-1.600E+0	1.446E-12
-1.500E+0	1.444E-12
-1.400E+0	1.435E-12
-1.300E+0	1.430E-12
-1.200E+0	1.419E-12
-1.100E+0	1.414E-12
-1.000E+0	1.412E-12
-900.000E-3	1.411E-12
-800.000E-3	1.404E-12
-700.000E-3	1.403E-12
-600.000E-3	1.405E-12
-500.000E-3	1.404E-12
-400.000E-3	1.401E-12
-300.000E-3	1.403E-12
-200.000E-3	1.401E-12
-100.000E-3	1.403E-12
0.000E+0	1.419E-12
100.000E-3	1.409E-12
200.000E-3	1.411E-12
300.000E-3	1.406E-12
400.000E-3	1.408E-12
500.000E-3	1.413E-12
600.000E-3	1.415E-12
700.000E-3	1.416E-12
800.000E-3	1.417E-12
900.000E-3	1.416E-12
1.000E+0	1.423E-12
1.100E+0	1.425E-12
1.200E+0	1.430E-12
1.300E+0	1.431E-12
1.400E+0	1.447E-12
1.500E+0	1.466E-12
1.600E+0	1.497E-12
1.700E+0	1.541E-12
1.800E+0	1.613E-12
1.900E+0	1.753E-12
2.000E+0	1.972E-12
2.100E+0	2.368E-12
2.200E+0	3.069E-12
2.300E+0	4.428E-12
2.400E+0	7.077E-12
2.500E+0	12.849E-12
2.600E+0	27.760E-12
2.700E+0	63.854E-12
2.800E+0	156.350E-12
2.900E+0	1.026E-9
3.000E+0	1.488E-9
3.100E+0	3.975E-9
3.200E+0	9.865E-9
3.300E+0	22.541E-9
3.400E+0	47.670E-9
3.500E+0	93.286E-9
3.600E+0	169.858E-9
3.700E+0	285.731E-9
3.800E+0	453.298E-9
3.900E+0	676.104E-9
4.000E+0	949.733E-9
4.100E+0	1.265E-6
4.200E+0	1.606E-6
4.300E+0	1.954E-6
4.400E+0	2.294E-6
4.500E+0	2.623E-6
4.600E+0	2.935E-6
4.700E+0	3.226E-6
4.800E+0	3.498E-6
4.900E+0	3.754E-6
5.000E+0	3.994E-6
5.100E+0	4.217E-6
5.200E+0	4.430E-6
5.300E+0	4.630E-6
5.400E+0	4.820E-6
5.500E+0	5.004E-6
5.600E+0	5.178E-6
5.700E+0	5.345E-6
5.800E+0	5.506E-6
5.900E+0	5.662E-6
6.000E+0	5.812E-6
6.100E+0	5.957E-6
6.200E+0	6.099E-6
6.300E+0	6.234E-6
6.400E+0	6.372E-6
6.500E+0	6.501E-6
6.600E+0	6.630E-6
6.700E+0	6.754E-6
6.800E+0	6.876E-6
6.900E+0	7.000E-6
7.000E+0	7.115E-6
7.100E+0	7.236E-6
7.200E+0	7.347E-6
7.300E+0	7.461E-6
7.400E+0	7.572E-6
7.500E+0	7.680E-6
7.600E+0	7.791E-6
7.700E+0	7.899E-6
7.800E+0	8.002E-6
7.900E+0	8.108E-6
8.000E+0	8.208E-6
8.100E+0	8.310E-6
8.200E+0	8.411E-6
8.300E+0	8.510E-6
8.400E+0	8.611E-6
8.500E+0	8.712E-6
8.600E+0	8.809E-6
8.700E+0	8.901E-6
8.800E+0	8.998E-6
8.900E+0	9.092E-6
