Name,V_th [V]
VPX37905_010_2-S_HM_E_Left,4.2997
VPX37905_010_2-S_HM_W_Left,2.96036
VPX37905_021_2-S_HM_E_Left,4.41181
VPX37905_021_2-S_HM_W_Left,3.5045
VPX37905_049_2-S_HM_E_Left,4.28028
VPX37905_049_2-S_HM_W_Left,3.35796
VPX37905_004_2-S_HM_E_Left,4.41261
VPX37905_004_2-S_HM_W_Left,2.84625
VPX37905_015_2-S_HM_E_Left,4.40541
VPX37905_015_2-S_HM_W_Left,3.27367
VPX37905_031_2-S_HM_E_Left,4.2973
VPX37905_031_2-S_HM_W_Left,1.740941
VPX37905_043_2-S_HM_E_Left,4.28499
VPX37905_043_2-S_HM_W_Left,1.93624
VPX37905_010_2-S_HM_E_Right,4.20721
VPX37905_010_2-S_HM_W_Right,4.27027
VPX37905_021_2-S_HM_E_Right,4.17798
VPX37905_021_2-S_HM_W_Right,4.28889
VPX37905_049_2-S_HM_E_Right,4.17798
VPX37905_049_2-S_HM_W_Right,4.27477

