Extended_Flutes_25-Jan-21_12:24:15 PM	Left_PQC1_FETPSs_trans	
Temperature(C)= 20.0	Humidity(%)= 26.7	Bias(V)= 100.000E-3
Current_Limit(A) = 10.000E-6	Settling_time(s) = 0.5	
		
Voltage (V)	Current (A)
-5.000E+0	649.450E-15
-4.900E+0	376.750E-15
-4.800E+0	346.270E-15
-4.700E+0	369.470E-15
-4.600E+0	386.700E-15
-4.500E+0	405.690E-15
-4.400E+0	422.180E-15
-4.300E+0	436.720E-15
-4.200E+0	442.730E-15
-4.100E+0	454.600E-15
-4.000E+0	467.110E-15
-3.900E+0	473.500E-15
-3.800E+0	480.630E-15
-3.700E+0	489.370E-15
-3.600E+0	500.320E-15
-3.500E+0	513.200E-15
-3.400E+0	519.080E-15
-3.300E+0	527.700E-15
-3.200E+0	540.250E-15
-3.100E+0	547.940E-15
-3.000E+0	564.800E-15
-2.900E+0	580.560E-15
-2.800E+0	608.950E-15
-2.700E+0	663.740E-15
-2.600E+0	752.810E-15
-2.500E+0	883.390E-15
-2.400E+0	993.610E-15
-2.300E+0	1.062E-12
-2.200E+0	1.101E-12
-2.100E+0	1.125E-12
-2.000E+0	1.137E-12
-1.900E+0	1.137E-12
-1.800E+0	1.121E-12
-1.700E+0	1.102E-12
-1.600E+0	1.088E-12
-1.500E+0	1.078E-12
-1.400E+0	1.076E-12
-1.300E+0	1.077E-12
-1.200E+0	1.079E-12
-1.100E+0	1.081E-12
-1.000E+0	1.081E-12
-900.000E-3	1.078E-12
-800.000E-3	1.087E-12
-700.000E-3	1.085E-12
-600.000E-3	1.088E-12
-500.000E-3	1.090E-12
-400.000E-3	1.086E-12
-300.000E-3	1.092E-12
-200.000E-3	1.094E-12
-100.000E-3	1.098E-12
0.000E+0	1.109E-12
100.000E-3	1.108E-12
200.000E-3	1.102E-12
300.000E-3	1.101E-12
400.000E-3	1.108E-12
500.000E-3	1.108E-12
600.000E-3	1.110E-12
700.000E-3	1.116E-12
800.000E-3	1.121E-12
900.000E-3	1.121E-12
1.000E+0	1.129E-12
1.100E+0	1.132E-12
1.200E+0	1.142E-12
1.300E+0	1.151E-12
1.400E+0	1.178E-12
1.500E+0	1.206E-12
1.600E+0	1.252E-12
1.700E+0	1.328E-12
1.800E+0	1.459E-12
1.900E+0	1.684E-12
2.000E+0	2.055E-12
2.100E+0	2.698E-12
2.200E+0	3.826E-12
2.300E+0	5.855E-12
2.400E+0	9.576E-12
2.500E+0	16.818E-12
2.600E+0	33.245E-12
2.700E+0	66.261E-12
2.800E+0	142.499E-12
2.900E+0	899.043E-12
3.000E+0	1.054E-9
3.100E+0	2.658E-9
3.200E+0	6.505E-9
3.300E+0	14.797E-9
3.400E+0	31.701E-9
3.500E+0	63.060E-9
3.600E+0	117.352E-9
3.700E+0	205.455E-9
3.800E+0	333.509E-9
3.900E+0	515.526E-9
4.000E+0	751.121E-9
4.100E+0	1.038E-6
4.200E+0	1.363E-6
4.300E+0	1.711E-6
4.400E+0	2.065E-6
4.500E+0	2.410E-6
4.600E+0	2.743E-6
4.700E+0	3.060E-6
4.800E+0	3.355E-6
4.900E+0	3.631E-6
5.000E+0	3.891E-6
5.100E+0	4.134E-6
5.200E+0	4.363E-6
5.300E+0	4.579E-6
5.400E+0	4.782E-6
5.500E+0	4.977E-6
5.600E+0	5.161E-6
5.700E+0	5.338E-6
5.800E+0	5.510E-6
5.900E+0	5.671E-6
6.000E+0	5.830E-6
6.100E+0	5.981E-6
6.200E+0	6.130E-6
6.300E+0	6.272E-6
6.400E+0	6.413E-6
6.500E+0	6.549E-6
6.600E+0	6.681E-6
6.700E+0	6.812E-6
6.800E+0	6.936E-6
6.900E+0	7.061E-6
7.000E+0	7.184E-6
7.100E+0	7.302E-6
7.200E+0	7.423E-6
7.300E+0	7.535E-6
7.400E+0	7.646E-6
7.500E+0	7.759E-6
7.600E+0	7.870E-6
7.700E+0	7.978E-6
7.800E+0	8.083E-6
7.900E+0	8.189E-6
8.000E+0	8.296E-6
8.100E+0	8.397E-6
8.200E+0	8.499E-6
8.300E+0	8.602E-6
8.400E+0	8.701E-6
8.500E+0	8.796E-6
8.600E+0	8.894E-6
8.700E+0	8.992E-6
8.800E+0	9.085E-6
