Name,Type,Average,Std.dev
35715,2S,227,25
35716,2S,224,10
35720,2S,221,17
35721,2S,224,10
35954,PS-s,226,7.52
35955,PS-s,223,3.7
36243,2S,247,3.8
36244,2S,279,11.1
36793,PS-s,221,14
36794,PS-s,215,4
37077,PS-s,224,7
37078,PS-s,225,8
37400,2S,227.8,5.6
37401,2S,225,4.6
37408,2S,207,7.6
37897,2S,211.5,9.61
37904,2S,204.33,15.7
37905,2S,211.55,9.61
38196,2S,203.21,6.88
38199,2S,199.34,16.94
38714,2S,202.89,4.81
38715,2S,185.89,2.12
38869,2S,185.95,5.63
38870,2S,203.95,17.07
