batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,R_OHM
34330,2S,EE,Perugia,Right,,,93.389848658
34330,2S,EE,Perugia,Left,,,83.767073757
34330,2S,EE,Perugia,Right,,,93.389848658
34330,2S,EE,Perugia,Left,,,83.767073757
34330,2S,WW,Perugia,Left,,,89.61135720200001
34330,2S,WW,Perugia,Left,,,81.07446416200001
34330,2S,WW,Perugia,Left,,,81.07446416200001
34330,2S,WW,Perugia,Left,,,89.61135720200001
34330,2S,EE,Perugia,Right,,,94.799683725
34330,2S,EE,Perugia,Left,,,79.58093088
34330,2S,EE,Perugia,Right,,,94.799683725
34330,2S,EE,Perugia,Left,,,79.58093088
34330,2S,WW,Perugia,Right,,,91.645624673
34330,2S,WW,Perugia,Right,,,91.645624673
34330,2S,EE,Perugia,Left,,,88.398853511
34330,2S,EE,Perugia,Right,,,94.618556434
34330,2S,EE,Perugia,Right,,,94.618556434
34330,2S,EE,Perugia,Left,,,88.398853511
34330,2S,WW,Perugia,Right,,,91.432811195
34330,2S,WW,Perugia,Left,,,89.10511724300001
34330,2S,WW,Perugia,Right,,,91.432811195
34330,2S,WW,Perugia,Left,,,89.10511724300001
34330,2S,EE,Perugia,Right,,,91.81183502300001
34330,2S,EE,Perugia,Left,,,84.487661097
34330,2S,EE,Perugia,Right,,,91.81183502300001
34330,2S,EE,Perugia,Left,,,84.487661097
34330,2S,WW,Perugia,Left,,,87.426151202
34330,2S,WW,Perugia,Right,,,91.747313549
34330,2S,WW,Perugia,Left,,,87.426151202
34330,2S,WW,Perugia,Right,,,91.747313549
34330,2S,EE,Perugia,Right,,,94.55456114200001
34330,2S,EE,Perugia,Left,,,90.02233999399999
34330,2S,EE,Perugia,Right,,,94.55456114200001
34330,2S,EE,Perugia,Left,,,90.02233999399999
34330,2S,WW,Perugia,Right,,,91.218960196
34330,2S,WW,Perugia,Left,,,88.02568974
34330,2S,WW,Perugia,Left,,,88.02568974
34330,2S,WW,Perugia,Right,,,91.218960196
34330,2S,WW,Perugia,Right,,,95.30523873899999
34330,2S,WW,Perugia,Left,,,91.795101159
34330,2S,WW,Perugia,Left,,,91.795101159
34330,2S,WW,Perugia,Right,,,95.30523873899999
34330,2S,EE,Perugia,Left,,,89.243441832
34330,2S,EE,Perugia,Right,,,94.076750192
34330,2S,EE,Perugia,Right,,,94.076750192
34330,2S,EE,Perugia,Left,,,89.243441832
34330,2S,EE,Perugia,Left,,,83.999457027
34330,2S,EE,Perugia,Right,,,87.475113885
34330,2S,EE,Perugia,Right,,,87.475113885
34330,2S,EE,Perugia,Left,,,83.999457027
34330,2S,WW,Perugia,Left,,,85.279086515
34330,2S,WW,Perugia,Right,,,90.528266804
34330,2S,WW,Perugia,Left,,,85.279086515
34330,2S,WW,Perugia,Right,,,90.528266804
34330,2S,EE,Perugia,Left,,,95.042516695
34330,2S,EE,Perugia,Right,,,88.29535367700001
34330,2S,EE,Perugia,Right,,,88.29535367700001
34330,2S,EE,Perugia,Left,,,95.042516695
34330,2S,WW,Perugia,Left,,,90.34203011700001
34330,2S,WW,Perugia,Right,,,93.364853261
34330,2S,WW,Perugia,Left,,,90.34203011700001
34330,2S,WW,Perugia,Right,,,93.364853261
34330,2S,EE,Perugia,Right,,,89.65889573000001
34330,2S,EE,Perugia,Right,,,89.65889573000001
34330,2S,WW,Perugia,Right,,,89.010218772
