batch_number,Type,Orientation,AGGREGATED_COND_DATA_SET_ID,PART_ID,PART_NAME_LABEL,RSH_OHMSQR,T_UM,RHO_KOHMCM,RC_OHM,R_OHM,PART_NAME_LABEL.1,KIND_OF_HM_FLUTE_ID,KIND_OF_HM_STRUCT_ID,KIND_OF_HM_CONFIG_ID,KIND_OF_HM_SET_ID,PROCEDURE_TYPE,EQUIPMENT,WAITING_TIME_S,AC_FREQ_HZ,AC_AMPL_V,CORR_OPEN_PFRD,TEMP_SET_DEGC,AV_TEMP_DEGC,FILE_NAME,Location
34330,2S,WW,832745,25903,34330_007_2-S_HM_WW,,,,,95.30523873899999,34330_007_2-S_HM_WW,PQC4,CC_STRIP,Not Used,Right,ContactChain-Strip,PQC_HM_POSITION 4,0.2,,,,,,HPK_34330_007_2-S_HM_W_R_flute4_n+_Chain_11_9_2020_11h24m26s.txt,Perugia
34330,2S,WW,833312,25903,34330_007_2-S_HM_WW,,,,,91.795101159,34330_007_2-S_HM_WW,PQC4,CC_STRIP,Not Used,Left,ContactChain-Strip,PQC_HM_POSITION 4,0.2,,,,,,HPK_34330_007_2-S_HM_W_L_flute4_n+_Chain_11_9_2020_11h27m21s.txt,Perugia
34330,2S,EE,830897,25928,34330_015_2-S_HM_EE,,,,,89.243441832,34330_015_2-S_HM_EE,PQC4,CC_STRIP,Not Used,Left,ContactChain-Strip,PQC_HM_POSITION 4,0.2,,,,,,HPK_34330_015_2-S_HM_E_L_flute4_n+_Chain_11_9_2020_12h4m0s.txt,Perugia
34330,2S,EE,831299,25928,34330_015_2-S_HM_EE,,,,,94.076750192,34330_015_2-S_HM_EE,PQC4,CC_STRIP,Not Used,Right,ContactChain-Strip,PQC_HM_POSITION 4,0.2,,,,,,HPK_34330_015_2-S_HM_E_R_flute4_n+_Chain_11_9_2020_12h10m27s.txt,Perugia
34330,2S,EE,832127,26028,34330_044_2-S_HM_EE,,,,,83.999457027,34330_044_2-S_HM_EE,PQC4,CC_STRIP,Not Used,Left,ContactChain-Strip,PQC_HM_POSITION 4,0.2,,,,,,HPK_34330_044_2-S_HM_E_L_flute4_n+_Chain_15_9_2020_17h8m8s.txt,Perugia
34330,2S,EE,833255,26028,34330_044_2-S_HM_EE,,,,,87.475113885,34330_044_2-S_HM_EE,PQC4,CC_STRIP,Not Used,Right,ContactChain-Strip,PQC_HM_POSITION 4,0.2,,,,,,HPK_34330_044_2-S_HM_E_R_flute4_n+_Chain_15_9_2020_17h25m46s.txt,Perugia
34330,2S,WW,832232,26031,34330_044_2-S_HM_WW,,,,,85.279086515,34330_044_2-S_HM_WW,PQC4,CC_STRIP,Not Used,Left,ContactChain-Strip,PQC_HM_POSITION 4,0.2,,,,,,HPK_34330_044_2-S_HM_W_L_flute4_n+_Chain_19_8_2020_14h35m44s.txt,Perugia
34330,2S,WW,832922,26031,34330_044_2-S_HM_WW,,,,,90.528266804,34330_044_2-S_HM_WW,PQC4,CC_STRIP,Not Used,Right,ContactChain-Strip,PQC_HM_POSITION 4,0.2,,,,,,HPK_34330_044_2-S_HM_W_R_flute4_n+_Chain_19_8_2020_14h22m49s.txt,Perugia
34330,2S,EE,832739,26032,34330_045_2-S_HM_EE,,,,,95.042516695,34330_045_2-S_HM_EE,PQC4,CC_STRIP,Not Used,Left,ContactChain-Strip,PQC_HM_POSITION 4,0.2,,,,,,HPK_34330_045_2-S_HM_E_L_flute4_n+_Chain_15_9_2020_14h6m50s.txt,Perugia
34330,2S,EE,833165,26032,34330_045_2-S_HM_EE,,,,,88.29535367700001,34330_045_2-S_HM_EE,PQC4,CC_STRIP,Not Used,Right,ContactChain-Strip,PQC_HM_POSITION 4,0.2,,,,,,HPK_34330_045_2-S_HM_E_R_flute4_n+_Chain_15_9_2020_14h2m12s.txt,Perugia
34330,2S,WW,830462,26035,34330_045_2-S_HM_WW,,,,,90.34203011700001,34330_045_2-S_HM_WW,PQC4,CC_STRIP,Not Used,Left,ContactChain-Strip,PQC_HM_POSITION 4,0.2,,,,,,HPK_34330_045_2-S_HM_W_L_flute4_n+_Chain_15_9_2020_14h21m27s.txt,Perugia
34330,2S,WW,831677,26035,34330_045_2-S_HM_WW,,,,,93.364853261,34330_045_2-S_HM_WW,PQC4,CC_STRIP,Not Used,Right,ContactChain-Strip,PQC_HM_POSITION 4,0.2,,,,,,HPK_34330_045_2-S_HM_W_R_flute4_n+_Chain_15_9_2020_15h19m34s.txt,Perugia
34330,2S,EE,832892,26036,34330_046_2-S_HM_EE,,,,,89.65889573000001,34330_046_2-S_HM_EE,PQC4,CC_STRIP,Not Used,Right,ContactChain-Strip,PQC_HM_POSITION 4,0.2,,,,,,HPK_34330_046_2-S_HM_E_R_flute4_n+_Chain_15_9_2020_10h18m13s.txt,Perugia
34330,2S,WW,830741,26039,34330_046_2-S_HM_WW,,,,,89.010218772,34330_046_2-S_HM_WW,PQC4,CC_STRIP,Not Used,Right,ContactChain-Strip,PQC_HM_POSITION 4,0.2,,,,,,HPK_34330_046_2-S_HM_W_R_flute4_n+_Chain_6_8_2020_9h52m16s.txt,Perugia
