batch_number,Type,Average,std
34252,PSS,97.68235767857144,5.4169840527950885
34254,PSS,84.16221196428572,8.966612143007863
34330,2S,89.52780294335294,4.066832602178267
34331,2S,66.074708,4.50216082253457
34332,2S,79.10275990281251,9.09079167642342
34340,PSS,90.05855925,4.408789607276903
34341,PSS,95.06674025,9.206235405290428
34343,PSS,82.14959275,6.522301890407656
34346,2S,90.57511497262162,13.012272782002123
34348,2S,81.19132840875001,6.975798290800153
34352,2S,88.2792786912,2.9329504232856194
34353,2S,91.361860625,12.955414313234487
34354,2S,79.52361008451112,5.703805417647181
34357,2S,81.05880166768965,3.646055712192996
34359,2S,75.91768071428571,5.9179588495458395
35494,PSP,104.337494494,4.1034216920158055
35495,PSP,113.759784360625,4.751918758186508
35496,PSP,89.4956590625,4.2339138909824285
35499,PSP,75.7914145,5.483345739741224
35500,PSP,118.361675,4.202891099418527
35501,PSP,112.5434,5.42817076318401
35713,PSS,72.80805864025,4.32477182261604
35714,PSS,71.958929277375,7.904602681773947
35717,2S,70.55988625,8.879299315555627
35718,2S,71.6302975,6.02959781738799
35719,2S,64.09804777725,5.775995734211142
35722,2S,65.3627325,7.661187959936673
35952,2S,66.19659375,6.982030722263172
35953,2S,52.27712807692308,3.0624576477241536
35957,2S,63.76640041666667,5.160739972219594
35958,2S,55.67718,5.816241375963228
35959,2S,72.012049957125,2.537547436208186
35960,2S,71.668525371375,4.529171070998746
35961,2S,60.29221324666667,4.371622631592545
35962,2S,71.62423511925,4.850440963062816
35963,2S,73.21594375,4.090257520083325
36236,PSS,67.10915240818181,9.688145091553254
36237,PSS,62.963364659199996,6.787998216464961
36238,2S,75.80471750000001,8.305858401332937
36239,2S,57.871036875,3.615441829699781
36240,2S,55.34134400000001,4.6414101277395075
36241,2S,55.6133065,4.8131139747670275
36245,2S,77.43649571428571,7.648403958255728
36246,2S,60.5171825,8.790802340782504
36696,PSS,75.92286250000001,2.868442121892994
36697,PSS,63.86092,12.262488709513368
36698,2S,66.644667,6.2039314984094265
36699,2S,64.43634222222222,1.0850320642471563
36700,2S,59.667601000000005,2.218095065778791
36701,2S,60.729979,4.278172377308509
36702,2S,63.188667365875006,6.142015562554635
36703,2S,79.5162053788,5.781629273686182
36704,2S,76.4757149724,5.379592995204122
36705,2S,65.01792174822224,4.439812559972334
36706,2S,73.81253666666666,6.001182573205607
36795,2S,87.4674275,4.653384684014569
36796,2S,59.88279,6.335211823613883
36797,2S,63.51416875,7.7542520721001615
36798,2S,72.71048658870001,3.7282959152471933
36799,2S,70.83956235550001,8.3166988162096
36800,2S,54.409898999999996,4.137323919160117
36801,2S,67.741942,6.707397348304334
36802,2S,66.767626,1.8024441673658327
36803,2S,59.75498875,2.653286302975116
37079,2S,69.7028875,5.44982324681206
37081,2S,64.3285275,4.2863451291537915
37083,2S,86.0264468563,8.293885134804487
37084,2S,80.1501050511,7.794189426181661
37085,2S,74.25372298244446,4.841156418425
37086,2S,77.780947137625,5.254776679833519
37087,2S,82.10352625,18.524201249337843
37088,2S,74.81868,13.233790398590594
37398,PSS,67.95537125,6.615694044079553
37399,PSS,62.3367475,13.748154044136509
37401,2S,57.800000000000004,3.458820608242063
37402,2S,79.5477553919,12.677860909854521
37403,2S,72.250053269125,12.648812348008537
37404,2S,71.836281,1.9510393392893037
37405,2S,56.29034,3.3465714386451624
37406,2S,77.09527875,13.980307481986877
37407,2S,70.65953875,11.111768317834974
37408,2S,89.83,3.2468815808402964
37895,PSS,91.39283625,7.934056926917635
37896,PSS,78.27117125000001,10.991519072025403
37897,2S,77.83833333333334,3.4957197637491872
37898,2S,64.015589,2.1290034750895384
37899,2S,66.12263250000001,3.361005132213327
37900,2S,82.350845130625,5.888080140024916
37901,2S,70.50774344987501,4.833258496173911
37903,2S,74.59946375,4.315204812579872
37904,2S,86.06666666666666,3.859661470474666
37905,2S,72.56333333333333,9.075138933739066
37906,2S,68.06272125,3.7219255550281622
37907,2S,55.695805,5.363069333109808
38194,2S,78.39371080525,7.863200857900353
38195,2S,73.26941112325001,5.210760297560481
38196,2S,76.49833333333333,3.7672027642093684
38197,2S,74.60132250000001,4.833463709709482
38198,2S,80.101079105875,7.722391135111298
38199,2S,76.31166666666667,9.457810352648583
38200,2S,56.4366025,3.280952175406882
38201,2S,69.079669755375,6.793470891154655
38202,2S,69.9407775,18.363374333342946
38212,PSS,82.53227625000001,4.9598592543422
38213,PSS,50.172331059375,9.32398214891909
38691,2S,66.30248,2.5694231381715666
38693,2S,90.35297875,6.196533934820654
38694,2S,88.47151875,4.265572585357721
38695,2S,86.77998,5.75615500792475
38696,2S,80.20535500000001,12.889977946626463
38711,PSS,76.43444694600001,6.214473645743077
38712,PSS,56.422233000000006,5.782912100840333
38713,2S,98.317965,14.434380274686443
38714,2S,71.19500000000001,11.15592891694816
38715,2S,67.36166666666666,6.4674057137825125
38716,2S,70.15509728216666,3.471011058654664
38868,2S,70.43953125,6.360631612676839
38869,2S,73.31,9.484986030564302
38870,2S,85.32666666666667,9.108270234609131
38871,2S,64.35330125,3.489600510400002
38872,2S,69.795,0.21920310216783134
38873,2S,82.16992333333333,5.986744831026849
38874,2S,68.21444375,5.00523634434674
38875,2S,61.812353333333334,7.562327713879287
38876,2S,74.0325,6.829111093936998
38877,2S,70.40524460125,3.228770232608324
38878,2S,67.78591250000001,4.524935406259569
38879,2S,57.65724125,3.8386046523422976
38880,2S,57.85530666666667,7.169767523730923
38882,2S,86.90833333333335,10.28648320207964
38883,2S,84.58833333333334,9.58100707998207
38884,2S,76.08333333333333,9.72042317323
38885,2S,61.421906250000006,5.544992040357389
38920,PSS,79.120694970125,5.071509655790261
38921,PSS,65.780375599,8.82209450594332
38922,PSS,81.17606968324999,8.426746094182148
39478,PSS,78.081086376125,7.050759047793085
39479,PSS,75.97833333333334,5.904623329787149
39480,2S,67.36622625,2.4768820022355142
39481,2S,73.71850875,5.991581568645028
39482,2S,66.5902825,5.212657137020976
39483,2S,66.55763125,5.247996034061647
39484,2S,66.45833333333333,4.651573568876092
39485,2S,72.47308585583333,8.552902886396804
39486,2S,68.46221875,6.15895048068938
39487,2S,71.92333333333333,3.020309034960938
39488,2S,84.53939296416667,10.19470663285368
39547,PSS,67.26333333333334,10.05695315026706
39548,PSS,53.331762000000005,6.959705223964908
39562,PSS,60.31217727272727,2.3107122221474965
39563,PSS,64.0445625,8.52547613351176
39564,2S,73.38331,2.5692509703180035
39565,2S,83.39427,6.878678459593823
39566,2S,71.03405000000001,7.90786243026701
39567,2S,79.7409975,8.611994074183068
39568,2S,67.0194832795,4.446064000897446
39569,2S,65.07069,6.150318118216865
39570,2S,68.393325,3.8042415538514365
39571,2S,66.113195,6.492851414422379
39572,2S,83.9232175,3.952666708838269
41352,2S,96.9634525,1.7359192544849735
41353,2S,73.783150959375,13.30493362769161
41354,2S,75.60788833333334,7.211450225585465
41355,2S,85.477564792875,15.197362710179744
41356,2S,75.91166666666668,6.967973641358493
41357,2S,66.61333333333333,5.943391848655674
41727,PSS,80.47703,7.06893930638819
41728,PSS,57.884659190625,5.006437773647432
41729,PSS,78.56615500000001,3.1059226877278943
41730,2S,67.96166666666667,4.4366627848718325
41731,2S,59.644999999999996,7.068660882137906
41732,2S,71.97333333333334,7.092933572695196
41733,2S,59.5231075,3.93254948991745
41734,2S,62.07884875,3.1306044450664237
41735,2S,51.128001250000004,2.4918704830046123
41736,2S,79.68937655275,6.376254012076386
41737,2S,76.75144897625,7.134768082852602
41738,2S,80.266099036,14.194582695353837
41739,2S,72.143566149,8.871938008753459
41740,2S,72.33500000000001,7.343393856612434
41741,2S,74.75166666666667,6.753927499364105
41742,2S,79.58893848175,8.542798726137061
41743,2S,73.71944491333333,6.676881998375063
41744,2S,62.4499025,4.5815603333354575
41745,2S,64.08426,3.8363461170531226
41746,2S,65.33882993033333,2.828154746607175
41747,2S,65.85127,6.3037732295235
41748,2S,74.365,3.1555585876354755
41749,2S,73.56,4.32276146307735
41750,2S,65.055,4.4833060717882445
41751,2S,73.53390333333333,3.313540487223101
41752,2S,79.6045775,5.430919272869143
41753,2S,80.21201500000001,3.5487892983020086
41754,2S,64.54698333333333,3.823172807303728
41755,2S,57.523277500000006,4.713711112009156
41756,2S,62.32333333333333,2.340834608994547
41757,2S,60.94,6.412381772789262
41758,2S,83.95666666666666,11.305589178219178
41759,2S,60.87436125,4.04743370695357
42240,PSS,78.492895,8.750359640803337
42241,PSS,63.04442,5.104765298822921
42242,2S,58.852305,2.6741775599131117
42243,2S,65.14932625,3.9166508487479756
42244,2S,59.243445,2.276201656557321
42245,2S,64.856679019,4.298824081523688
42246,2S,80.22255912742857,8.23401545301516
42247,2S,98.48796499999999,9.837529850857376
42248,2S,76.85900932324999,4.908002609977746
42249,2S,100.46437833333333,3.8405563669365224
42250,2S,87.197144681625,7.710653745489557
42251,2S,93.41660166666668,5.074936884878142
42252,2S,64.7321375,2.596300064392457
42253,2S,77.13,7.052366033230752
42254,2S,87.055,3.948252778128567
42255,2S,75.4125,3.1169041798981714
42256,2S,82.13399375,5.6700053665732675
