Name,Type,Average,Std.dev
35715,2S,6.28E+10,2.00E+09
35716,2S,4.75E+10,3.59E+09
35720,2S,6.22E+10,2.52E+10
35721,2S,6.26E+10,2.60E+10
35497,PS-p,1.17E+11,1.45E+10
35498,PS-p,1.29E+11,8.72E+09
35954,PS-s,6.25E+10,4.70E+09
35955,PS-s,5.86E+10,3.32E+09
36243,2S,6.23E+10,2.90E+09
36244,2S,6.66E+10,2.27E+09
36232,PS-p,1.28E+11,8.27E+09
36233,PS-p,1.26E+11,8.85E+09
36234,PS-p,1.27E+11,1.11E+10
36235,PS-p,1.21E+11,1.66E+10
36793,PS-s,6.92E+10,3.19E+09
36794,PS-s,4.30E+10,3.05E+09
37077,PS-s,6.38E+10,4.59E+09
37078,PS-s,6.37E+10,4.24E+09
37400,2S,6.65E+10,2.77E+09
37401,2S,5.42E+10,2.84E+09
37408,2S,6.56E+10,3.12E+09
37897,2S,6.36E+10,2.34E+09
37904,2S,6.25E+10,2.10E+09
37905,2S,6.49E+10,3.34E+09
38196,2S,6.38E+10,1.53E+09
38199,2S,6.06E+10,2.17E+09
38714,2S,5.53E+10,3.98E+09
38715,2S,5.87E+10,7.83E+09
38869,2S,5.67E+10,8.66E+09
38870,2S,6.31E+10,1.87E+09
