batch_number,Type,Orientation,AGGREGATED_COND_DATA_SET_ID,PART_ID,PART_NAME_LABEL,RSH_OHMSQR,T_UM,RHO_KOHMCM,RC_OHM,R_OHM,PART_NAME_LABEL.1,KIND_OF_HM_FLUTE_ID,KIND_OF_HM_STRUCT_ID,KIND_OF_HM_CONFIG_ID,KIND_OF_HM_SET_ID,PROCEDURE_TYPE,EQUIPMENT,WAITING_TIME_S,AC_FREQ_HZ,AC_AMPL_V,CORR_OPEN_PFRD,TEMP_SET_DEGC,AV_TEMP_DEGC,FILE_NAME,Location
34330,2S,EE,830957,25884,34330_003_2-S_HM_EE,64169.3,,,,14158.036148,34330_003_2-S_HM_EE,PQC3,VDP_BULK,Standard,Left,Meander,PQC_HM_POSITION 3,0.2,,,,20.0,20.0,HPK_34330_003_2-S_HM_E_flute3_L_BulckCross_3_8_2020_16h41m25s.txt,Perugia
34330,2S,EE,832349,25884,34330_003_2-S_HM_EE,63391.11,,,,13986.339554,34330_003_2-S_HM_EE,PQC3,VDP_BULK,Standard,Right,Meander,PQC_HM_POSITION 3,0.2,,,,20.0,20.0,HPK_34330_003_2-S_HM_E_flute3_R_BulckCross_3_8_2020_16h51m40s.txt,Perugia
34330,2S,WW,830384,25887,34330_003_2-S_HM_WW,64032.731,,,,14127.904097,34330_003_2-S_HM_WW,PQC3,VDP_BULK,Standard,Right,Meander,PQC_HM_POSITION 3,0.2,,,,20.0,20.0,HPK_34330_003_2-S_HM_W_flute3_R_BulckCross_3_8_2020_18h1m50s.txt,Perugia
34330,2S,WW,833078,25887,34330_003_2-S_HM_WW,63947.784,,,,14109.161794,34330_003_2-S_HM_WW,PQC3,VDP_BULK,Standard,Left,Meander,PQC_HM_POSITION 3,0.2,,,,20.0,20.0,HPK_34330_003_2-S_HM_W_flute3_L_BulckCross_3_8_2020_18h18m0s.txt,Perugia
34330,2S,EE,830369,25888,34330_004_2-S_HM_EE,63852.43,,,,14088.123254,34330_004_2-S_HM_EE,PQC3,VDP_BULK,Standard,Right,Meander,PQC_HM_POSITION 3,0.2,,,,20.0,20.0,HPK_34330_004_2-S_HM_E_flute3_R_BulckCross_4_8_2020_11h50m31s.txt,Perugia
34330,2S,EE,831740,25888,34330_004_2-S_HM_EE,64194.333,,,,14163.559364,34330_004_2-S_HM_EE,PQC3,VDP_BULK,Standard,Left,Meander,PQC_HM_POSITION 3,0.2,,,,20.0,20.0,HPK_34330_004_2-S_HM_E_flute3_L_BulckCross_4_8_2020_12h2m5s.txt,Perugia
34330,2S,WW,831545,25891,34330_004_2-S_HM_WW,63903.013,,,,14099.283622,34330_004_2-S_HM_WW,PQC3,VDP_BULK,Standard,Right,Meander,PQC_HM_POSITION 3,0.2,,,,20.0,20.0,HPK_34330_004_2-S_HM_W_flute3_R_BulckCross_4_8_2020_9h43m4s.txt,Perugia
34330,2S,WW,832961,25891,34330_004_2-S_HM_WW,63420.674,,,,13992.862517,34330_004_2-S_HM_WW,PQC3,VDP_BULK,Standard,Left,Meander,PQC_HM_POSITION 3,0.2,,,,20.0,20.0,HPK_34330_004_2-S_HM_W_flute3_L_BulckCross_4_8_2020_9h32m37s.txt,Perugia
34330,2S,EE,830765,25892,34330_005_2-S_HM_EE,63991.263,,,,14118.754869,34330_005_2-S_HM_EE,PQC3,VDP_BULK,Standard,Right,Meander,PQC_HM_POSITION 3,0.2,,,,20.0,20.0,HPK_34330_005_2-S_HM_E_flute3_R_BulckCross_4_8_2020_14h52m46s.txt,Perugia
34330,2S,EE,831509,25892,34330_005_2-S_HM_EE,63144.39,,,,13931.904482,34330_005_2-S_HM_EE,PQC3,VDP_BULK,Standard,Left,Meander,PQC_HM_POSITION 3,0.2,,,,20.0,20.0,HPK_34330_005_2-S_HM_E_flute3_L_BulckCross_4_8_2020_15h9m30s.txt,Perugia
