batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,R_OHM
34252,PSS,WW,Brown,Left,20.0,20.1,13981.65
34252,PSS,WW,Brown,Right,20.0,20.031,14135.94
34252,PSS,WW,Brown,Left,20.0,20.098,13927.86
34252,PSS,EE,Brown,Right,20.0,20.084,14157.52
34252,PSS,EE,Brown,Left,20.0,20.05,13918.42
34252,PSS,EE,Brown,Right,20.0,20.083,14014.91
34252,PSS,EE,Brown,Left,20.0,20.049,14007.93
34252,PSS,WW,Brown,Right,20.0,20.048,14043.66
34252,PSS,WW,Brown,Left,20.0,20.068,13988.34
34252,PSS,WW,Brown,Left,20.0,20.069,13922.35
34252,PSS,WW,Brown,Right,20.0,20.047,13913.01
34252,PSS,EE,Brown,Right,20.0,20.048,14041.86
34252,PSS,EE,Brown,Right,20.0,20.045,13969.38
34252,PSS,EE,Brown,Left,20.0,20.001,8436.614
34252,PSS,EE,Brown,Left,20.0,20.002,8443.324
34252,PSS,WW,Brown,Right,20.0,20.058,13961.56
34252,PSS,WW,Brown,Right,20.0,20.055,13930.7
34252,PSS,WW,Brown,Left,20.0,20.024,13974.02
34252,PSS,WW,Brown,Left,20.0,20.025,13884.88
34252,PSS,EE,Brown,Left,20.0,20.071,14088.16
34252,PSS,EE,Brown,Right,20.0,20.093,13933.13
34252,PSS,EE,Brown,Right,20.0,20.094,14029.74
34252,PSS,EE,Brown,Left,20.0,20.072,14081.5
34252,PSS,WW,Brown,Left,20.0,20.067,13933.74
34252,PSS,WW,Brown,Left,20.0,20.068,14059.9
34252,PSS,WW,Brown,Right,20.0,20.033,14529.77
34252,PSS,WW,Brown,Right,20.0,20.035,14123.11
34252,PSS,EE,Brown,Right,20.0,20.048,14261.45
34252,PSS,EE,Brown,Left,20.0,20.102,14116.37
34252,PSS,EE,Brown,Left,20.0,20.102,14128.91
34252,PSS,EE,Brown,Right,20.0,20.049,14323.46
34252,PSS,WW,Brown,Right,20.0,20.029,14040.68
34252,PSS,WW,Brown,Left,20.0,20.114,14145.18
34252,PSS,WW,Brown,Left,20.0,20.116,14210.34
34252,PSS,WW,Brown,Right,20.0,20.029,14081.94
34252,PSS,EE,Brown,Left,20.0,20.136,14021.36
34252,PSS,EE,Brown,Left,20.0,20.136,14121.38
34252,PSS,WW,Brown,Left,20.0,20.13,14031.65
34252,PSS,WW,Brown,Left,20.0,20.012,14075.87
34252,PSS,WW,Brown,Right,20.0,20.056,13573.1
34252,PSS,WW,Brown,Right,20.0,20.059,15266.25
