batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,RSH_OHMSQR
34330,2S,EE,Perugia,Left,20.0,20.0,64169.3
34330,2S,EE,Perugia,Right,20.0,20.0,63391.11
34330,2S,WW,Perugia,Right,20.0,20.0,64032.731
34330,2S,WW,Perugia,Left,20.0,20.0,63947.784
34330,2S,EE,Perugia,Right,20.0,20.0,63852.43
34330,2S,EE,Perugia,Left,20.0,20.0,64194.333
34330,2S,WW,Perugia,Right,20.0,20.0,63903.013
34330,2S,WW,Perugia,Left,20.0,20.0,63420.674
34330,2S,EE,Perugia,Right,20.0,20.0,63991.263
34330,2S,EE,Perugia,Left,20.0,20.0,63144.39
34330,2S,WW,Perugia,Left,20.0,20.0,63600.201
34330,2S,WW,Perugia,Right,20.0,20.0,64402.655
34330,2S,EE,Perugia,Left,20.0,20.0,63967.784
34330,2S,EE,Perugia,Right,20.0,20.0,63667.462
34330,2S,WW,Perugia,Left,20.0,20.0,63632.138
34330,2S,EE,Perugia,Left,20.0,20.0,64064.48
34330,2S,EE,Perugia,Right,20.0,20.0,63839.285
34330,2S,WW,Perugia,Left,20.0,20.0,63641.365
34330,2S,WW,Perugia,Right,20.0,20.0,63799.784
34330,2S,EE,Perugia,Left,20.0,20.0,63328.383
34330,2S,EE,Perugia,Right,20.0,20.0,63621.619
34330,2S,WW,Perugia,Left,20.0,20.0,64130.527
34330,2S,WW,Perugia,Right,20.0,20.0,64003.985
34330,2S,EE,Perugia,Right,20.0,20.0,63547.909
34330,2S,EE,Perugia,Left,20.0,20.0,63507.015
34330,2S,WW,Perugia,Left,20.0,20.0,63101.185
34330,2S,WW,Perugia,Right,20.0,20.0,64181.425
34330,2S,EE,Perugia,Right,20.0,20.0,63396.371
34330,2S,EE,Perugia,Left,20.0,20.0,63545.531
34330,2S,WW,Perugia,Left,20.0,20.0,63024.846
34330,2S,EE,Perugia,Left,20.0,20.0,63032.997
34330,2S,EE,Perugia,Right,20.0,20.0,63506.795
34330,2S,WW,Perugia,Left,20.0,20.0,64147.902
34330,2S,WW,Perugia,Right,20.0,20.0,63745.744
34330,2S,WW,Perugia,Right,20.0,20.0,62956.854
34330,2S,EE,Perugia,Right,20.0,20.0,52538.474
34330,2S,EE,Perugia,Left,20.0,20.0,52165.077
34330,2S,WW,Perugia,Right,20.0,20.0,52160.394
34330,2S,WW,Perugia,Left,20.0,20.0,52339.93
34330,2S,EE,Perugia,Left,20.0,20.0,52121.113
34330,2S,EE,Perugia,Right,20.0,20.0,52213.508
34330,2S,WW,Perugia,Right,20.0,20.0,53905.982
34330,2S,WW,Perugia,Left,20.0,20.0,52439.333
34330,2S,EE,Perugia,Right,20.0,20.0,52316.731
34330,2S,EE,Perugia,Left,20.0,20.0,52137.38
34330,2S,WW,Perugia,Right,20.0,20.0,53007.694
34330,2S,WW,Perugia,Left,20.0,20.0,52175.426
34330,2S,EE,Perugia,Left,20.0,20.0,52334.96
34330,2S,EE,Perugia,Right,20.0,20.0,52142.108
