batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,TOX_NM
35958,2S,EE,HEPHY,Right,,,674.237
35958,2S,EE,HEPHY,Left,,,668.464
35958,2S,WW,HEPHY,Left,,,673.937
35958,2S,WW,HEPHY,Right,,,671.546
35958,2S,EE,HEPHY,Left,,,671.048
35958,2S,EE,HEPHY,Right,,,673.613
35958,2S,WW,HEPHY,Right,,,668.236
35958,2S,WW,HEPHY,Left,,,672.982
35958,2S,EE,HEPHY,Right,,,674.033
35958,2S,EE,HEPHY,Left,,,667.239
35958,2S,WW,HEPHY,Right,,,669.924
35958,2S,WW,HEPHY,Left,,,673.538
35958,2S,EE,HEPHY,Left,,,667.779
35958,2S,EE,HEPHY,Right,,,673.783
35958,2S,WW,HEPHY,Left,,,676.64
35958,2S,WW,HEPHY,Right,,,670.611
36239,2S,EE,HEPHY,Right,,,675.815
36239,2S,EE,HEPHY,Left,,,664.182
36239,2S,WW,HEPHY,Right,,,667.155
36239,2S,WW,HEPHY,Left,,,674.05
36239,2S,EE,HEPHY,Right,,,681.826
36239,2S,EE,HEPHY,Left,,,668.617
36239,2S,WW,HEPHY,Right,,,669.713
36239,2S,WW,HEPHY,Left,,,675.616
36239,2S,EE,HEPHY,Left,,,667.3
36239,2S,EE,HEPHY,Right,,,678.347
36239,2S,WW,HEPHY,Left,,,679.622
36239,2S,WW,HEPHY,Right,,,668.284
36239,2S,EE,HEPHY,Right,,,674.996
36239,2S,EE,HEPHY,Left,,,667.063
36239,2S,WW,HEPHY,Left,,,673.412
36239,2S,WW,HEPHY,Right,,,669.287
36239,2S,EE,HEPHY,Left,,,665.474
36239,2S,WW,HEPHY,Left,,,672.509
36239,2S,EE,HEPHY,Left,,,663.286
36239,2S,WW,HEPHY,Left,,,670.073
36239,2S,EE,HEPHY,Left,,,661.639
36239,2S,WW,HEPHY,Left,,,671.097
36239,2S,EE,HEPHY,Left,,,662.008
36239,2S,WW,HEPHY,Left,,,667.769
36240,2S,EE,HEPHY,Left,,,666.451
36240,2S,WW,HEPHY,Left,,,677.469
36240,2S,EE,HEPHY,Left,,,669.454
36240,2S,WW,HEPHY,Left,,,678.152
36240,2S,EE,HEPHY,Left,,,672.274
36240,2S,WW,HEPHY,Left,,,678.172
36240,2S,EE,HEPHY,Left,,,670.964
36240,2S,WW,HEPHY,Left,,,674.31
36240,2S,EE,HEPHY,Left,,,664.01
36240,2S,WW,HEPHY,Left,,,676.897
36240,2S,EE,HEPHY,Right,,,675.124
36240,2S,EE,HEPHY,Left,,,668.589
36240,2S,WW,HEPHY,Left,,,672.009
36240,2S,WW,HEPHY,Right,,,664.73
36240,2S,EE,HEPHY,Left,,,672.049
36240,2S,WW,HEPHY,Left,,,674.429
36240,2S,EE,HEPHY,Left,,,666.242
36240,2S,WW,HEPHY,Right,,,668.444
36240,2S,WW,HEPHY,Left,,,672.888
