batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,CACC_PFRD
36241,2S,WW,HEPHY,Left,,,83.13
36241,2S,EE,HEPHY,Left,,,84.922
36241,2S,WW,HEPHY,Left,,,83.403
36241,2S,EE,HEPHY,Left,,,85.101
36241,2S,WW,HEPHY,Left,,,83.394
36241,2S,EE,HEPHY,Left,,,85.145
36241,2S,WW,HEPHY,Left,,,83.735
36241,2S,EE,HEPHY,Left,,,85.583
36241,2S,WW,HEPHY,Left,,,84.037
36241,2S,EE,HEPHY,Left,,,85.036
36241,2S,WW,HEPHY,Left,,,84.373
36241,2S,EE,HEPHY,Left,,,85.842
36241,2S,WW,HEPHY,Left,,,84.382
