batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,CACC_PFRD
34340,PSS,WW,Brown,Right,20.0,20.012,87.421
34340,PSS,EE,Brown,Right,20.0,20.065,87.035
34340,PSS,WW,Brown,Right,20.0,20.043,88.359
34340,PSS,EE,Brown,Right,20.0,20.059,86.468
34340,PSS,WW,Brown,Right,20.0,20.009,87.969
34340,PSS,EE,Brown,Left,20.0,20.051,87.807
34340,PSS,WW,Brown,Right,20.0,20.025,87.229
34353,2S,EE,Brown,Left,20.0,20.044,87.155
34353,2S,WW,Brown,Right,20.0,20.036,86.644
34353,2S,EE,Brown,Left,20.0,20.095,86.889
34353,2S,WW,Brown,Right,20.0,20.062,86.525
34353,2S,EE,Brown,Right,20.0,20.012,85.218
34353,2S,WW,Brown,Right,20.0,20.046,86.087
34353,2S,EE,Brown,Right,20.0,20.106,85.132
34353,2S,WW,Brown,Left,20.0,20.158,84.953
34353,2S,EE,Brown,Right,20.0,20.037,85.264
34353,2S,WW,Brown,Right,20.0,20.06,86.267
34353,2S,EE,Brown,Right,20.0,20.106,85.269
34353,2S,WW,Brown,Right,20.0,20.166,86.499
34353,2S,EE,Brown,Left,20.0,20.078,86.749
34353,2S,WW,Brown,Left,20.0,20.112,85.611
34353,2S,EE,Brown,Right,20.0,20.095,85.838
34353,2S,WW,Brown,Left,20.0,20.152,85.255
34353,2S,EE,Brown,Right,20.0,20.01,85.907
34353,2S,WW,Brown,Right,20.0,20.046,87.071
34353,2S,EE,Brown,Left,20.0,20.149,87.042
34353,2S,WW,Brown,Right,20.0,20.054,86.567
34353,2S,EE,Brown,Right,20.0,20.005,85.684
34353,2S,WW,Brown,Right,20.0,20.003,86.622
34353,2S,EE,Brown,Right,20.0,20.031,85.327
34353,2S,WW,Brown,Right,20.0,20.004,86.629
34353,2S,EE,Brown,Right,20.0,20.003,86.255
34353,2S,WW,Brown,Right,20.0,20.011,87.16
34353,2S,EE,Brown,Right,20.0,20.02,86.013
34353,2S,WW,Brown,Right,20.0,20.009,87.123
34353,2S,EE,Brown,Right,20.0,20.004,86.598
34353,2S,WW,Brown,Right,20.0,20.003,87.547
34353,2S,EE,Brown,Right,20.0,20.014,86.026
34353,2S,WW,Brown,Right,20.0,20.004,87.476
34359,2S,EE,Brown,Right,20.0,20.004,87.088
34359,2S,WW,Brown,Right,20.0,20.003,87.726
34359,2S,EE,Brown,Left,20.0,20.068,88.056
34359,2S,WW,Brown,Right,20.0,20.001,88.132
34359,2S,EE,Brown,Right,20.0,20.003,87.373
34359,2S,WW,Brown,Right,20.0,20.002,87.934
34359,2S,EE,Brown,Right,20.0,20.003,87.699
34359,2S,WW,Brown,Right,20.0,20.003,87.894
34359,2S,EE,Brown,Right,20.0,20.004,87.435
34359,2S,WW,Brown,Left,20.0,20.032,87.237
34359,2S,EE,Brown,Left,20.0,20.031,88.051
34359,2S,WW,Brown,Right,20.0,20.004,88.317
34359,2S,EE,Brown,Right,20.0,20.002,87.584
34359,2S,WW,Brown,Right,20.0,20.003,88.06
34359,2S,EE,Brown,Right,20.0,20.009,87.052
34359,2S,WW,Brown,Left,20.0,20.103,88.099
34359,2S,EE,Brown,Right,20.0,20.003,87.666
34359,2S,WW,Brown,Right,20.0,20.002,88.424
34359,2S,EE,Brown,Right,20.0,20.011,87.468
34359,2S,WW,Brown,Right,20.0,20.003,88.536
34359,2S,EE,Brown,Left,20.0,20.011,88.407
34359,2S,WW,Brown,Right,20.0,20.004,88.617
34359,2S,EE,Brown,Left,20.0,20.033,85.785
34359,2S,WW,Brown,Right,20.0,20.003,88.345
34359,2S,EE,Brown,Right,20.0,20.002,87.748
34359,2S,WW,Brown,Right,20.0,20.004,88.351
34359,2S,EE,Brown,Right,20.0,20.009,87.569
34359,2S,WW,Brown,Right,20.0,20.002,88.365
34341,PSS,EE,Brown,Right,20.0,20.062,86.558
34341,PSS,WW,Brown,Right,20.0,20.024,87.905
34341,PSS,EE,Brown,Right,20.0,20.002,86.31
34341,PSS,WW,Brown,Right,20.0,20.004,87.57
34341,PSS,EE,Brown,Right,20.0,20.007,85.93
34341,PSS,WW,Brown,Left,20.0,20.103,85.948
34341,PSS,EE,Brown,Right,20.0,20.106,86.035
34341,PSS,WW,Brown,Right,20.0,20.062,87.127
34341,PSS,EE,Brown,Right,20.0,20.056,86.172
34341,PSS,WW,Brown,Right,20.0,20.045,87.083
34341,PSS,EE,Brown,Right,20.0,20.107,84.013
34341,PSS,WW,Brown,Left,20.0,20.125,85.533
34341,PSS,EE,Brown,Right,20.0,20.012,85.686
34341,PSS,WW,Brown,Right,20.0,20.045,87.42
34341,PSS,EE,Brown,Left,20.0,20.086,87.089
34341,PSS,WW,Brown,Right,20.0,20.055,87.112
34341,PSS,EE,Brown,Right,20.0,20.002,85.83
34341,PSS,WW,Brown,Right,20.0,20.021,87.421
34341,PSS,EE,Brown,Right,20.0,20.08,86.99
34341,PSS,WW,Brown,Right,20.0,20.041,88.048
34341,PSS,EE,Brown,Right,20.0,20.006,82.121
34341,PSS,WW,Brown,Right,20.0,20.041,87.241
34341,PSS,EE,Brown,Left,20.0,20.127,87.563
34341,PSS,WW,Brown,Right,20.0,20.06,87.049
34341,PSS,EE,Brown,Right,20.0,20.002,86.468
34341,PSS,WW,Brown,Left,20.0,20.104,86.162
34341,PSS,EE,Brown,Left,20.0,20.124,87.873
34341,PSS,WW,Brown,Left,20.0,20.147,86.882
34341,PSS,EE,Brown,Left,20.0,20.014,87.699
34341,PSS,WW,Brown,Right,20.0,20.012,87.636
34341,PSS,EE,Brown,Right,20.0,20.067,86.694
34341,PSS,WW,Brown,Right,20.0,20.027,87.158
34341,PSS,EE,Brown,Right,20.0,20.02,86.507
34341,PSS,WW,Brown,Right,20.0,20.045,80.865
34341,PSS,EE,Brown,Right,20.0,20.095,86.521
34341,PSS,WW,Brown,Right,20.0,20.048,87.634
34341,PSS,EE,Brown,Right,20.0,20.03,86.558
34341,PSS,WW,Brown,Right,20.0,20.038,88.162
34341,PSS,EE,Brown,Right,20.0,20.11,86.439
34341,PSS,WW,Brown,Left,20.0,20.129,86.888
34343,PSS,EE,Brown,Right,20.0,20.021,85.742
34343,PSS,WW,Brown,Right,20.0,20.009,87.021
34343,PSS,EE,Brown,Right,20.0,20.068,85.903
34343,PSS,WW,Brown,Right,20.0,20.038,87.011
34343,PSS,EE,Brown,Right,20.0,20.063,85.912
34343,PSS,WW,Brown,Right,20.0,20.021,86.872
34343,PSS,EE,Brown,Right,20.0,20.006,85.796
34343,PSS,WW,Brown,Right,20.0,20.01,86.736
34343,PSS,EE,Brown,Right,20.0,20.003,85.821
34343,PSS,WW,Brown,Right,20.0,20.002,86.709
34343,PSS,EE,Brown,Left,20.0,20.085,87.055
34343,PSS,WW,Brown,Right,20.0,20.046,86.895
34343,PSS,EE,Brown,Right,20.0,20.005,85.724
34343,PSS,WW,Brown,Right,20.0,20.015,86.933
34343,PSS,EE,Brown,Right,20.0,20.061,85.794
34343,PSS,WW,Brown,Right,20.0,20.023,87.013
34343,PSS,EE,Brown,Right,20.0,20.031,86.181
34343,PSS,WW,Brown,Right,20.0,20.067,72.063
34343,PSS,EE,Brown,Right,20.0,20.127,86.234
34343,PSS,WW,Brown,Right,20.0,20.14,87.435
34343,PSS,EE,Brown,Right,20.0,20.019,86.52
34343,PSS,WW,Brown,Right,20.0,20.013,87.622
34343,PSS,EE,Brown,Right,20.0,20.034,86.669
34343,PSS,EE,Brown,Right,20.0,20.055,86.251
34343,PSS,WW,Brown,Right,20.0,20.067,87.681
34343,PSS,EE,Brown,Left,20.0,20.141,87.827
34343,PSS,WW,Brown,Right,20.0,20.117,87.688
34343,PSS,WW,Brown,Left,20.0,20.155,86.884
34343,PSS,EE,Brown,Right,20.0,20.035,87.148
34343,PSS,WW,Brown,Left,20.0,20.083,86.917
34343,PSS,WW,Brown,Right,20.0,20.081,89.13
34343,PSS,EE,Brown,Right,20.0,20.153,86.822
34343,PSS,WW,Brown,Right,20.0,20.033,87.056
35722,2S,EE,Brown,Right,20.0,20.004,82.781
35722,2S,WW,Brown,Right,20.0,20.009,83.76
35722,2S,EE,Brown,Right,20.0,20.003,83.249
35722,2S,WW,Brown,Right,20.0,20.003,83.771
35722,2S,EE,Brown,Right,20.0,20.044,83.236
35722,2S,WW,Brown,Right,20.0,20.055,84.102
35722,2S,EE,Brown,Right,20.0,20.026,83.401
35722,2S,WW,Brown,Right,20.0,20.031,84.185
35722,2S,EE,Brown,Right,20.0,20.043,83.863
35722,2S,WW,Brown,Right,20.0,20.014,84.394
35722,2S,EE,Brown,Right,20.0,20.001,83.632
35722,2S,WW,Brown,Right,20.0,20.005,84.123
