batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,VFB_V
34252,PSS,EE,Brown,Left,20.0,20.029,-2.341
34252,PSS,WW,Brown,Left,20.0,20.074,-2.353
34252,PSS,EE,Brown,Left,20.0,20.051,-2.437
34252,PSS,EE,Brown,Right,20.0,20.052,-2.392
34252,PSS,WW,Brown,Right,20.0,20.018,-2.321
34252,PSS,WW,Brown,Left,20.0,20.013,-2.4
34252,PSS,EE,Brown,Left,20.0,20.002,-2.415
34252,PSS,WW,Brown,Left,20.0,20.029,-2.395
34252,PSS,EE,Brown,Right,20.0,20.011,-2.328
34252,PSS,EE,Brown,Left,20.0,20.061,-2.412
34252,PSS,WW,Brown,Left,20.0,20.032,-2.369
34252,PSS,WW,Brown,Right,20.0,20.004,-2.315
34252,PSS,EE,Brown,Left,20.0,20.09,-2.412
34252,PSS,WW,Brown,Left,20.0,20.125,-2.414
34252,PSS,EE,Brown,Left,20.0,20.045,-2.425
34252,PSS,EE,Brown,Right,20.0,20.105,-2.346
34252,PSS,WW,Brown,Left,20.0,20.077,-2.42
34252,PSS,WW,Brown,Right,20.0,20.044,-2.309
34252,PSS,EE,Brown,Right,20.0,20.006,-2.414
34252,PSS,EE,Brown,Left,20.0,20.005,-2.444
34252,PSS,WW,Brown,Right,20.0,20.072,-2.353
34252,PSS,EE,Brown,Left,20.0,20.036,-2.416
34252,PSS,WW,Brown,Left,20.0,20.073,-2.427
34252,PSS,WW,Brown,Right,20.0,20.035,-2.305
34252,PSS,EE,Brown,Left,20.0,20.142,-2.419
34252,PSS,EE,Brown,Left,20.0,20.144,-2.409
34252,PSS,EE,Brown,Right,20.0,20.102,-2.352
34252,PSS,WW,Brown,Right,20.0,20.086,-2.283
34252,PSS,EE,Brown,Right,20.0,20.012,-2.428
34252,PSS,EE,Brown,Left,20.0,20.056,-2.415
34252,PSS,WW,Brown,Left,20.0,20.085,-2.477
34252,PSS,EE,Brown,Right,20.0,20.052,-2.452
34252,PSS,EE,Brown,Left,20.0,20.047,-2.444
34252,PSS,WW,Brown,Right,20.0,20.029,-2.417
34252,PSS,WW,Brown,Left,20.0,20.074,-2.489
34252,PSS,EE,Brown,Left,20.0,20.06,-2.445
34252,PSS,EE,Brown,Right,20.0,20.159,-2.431
34252,PSS,WW,Brown,Left,20.0,20.071,-2.337
34252,PSS,WW,Brown,Right,20.0,20.007,-2.381
34252,PSS,EE,Brown,Left,20.0,20.043,-2.41
34252,PSS,WW,Brown,Left,20.0,20.347,-2.47
34252,PSS,WW,Brown,Right,20.0,20.008,-2.365
34332,2S,EE,Perugia,Left,20.0,20.0,-3.005
34332,2S,EE,Perugia,Right,20.0,20.0,-2.991
34332,2S,WW,Perugia,Left,20.0,20.0,-3.021
34332,2S,WW,Perugia,Right,20.0,20.0,-3.015
34332,2S,EE,Perugia,Left,20.0,20.0,-2.984
34332,2S,EE,Perugia,Right,20.0,20.0,-2.976
34332,2S,WW,Perugia,Left,20.0,20.0,-2.983
34332,2S,WW,Perugia,Right,20.0,20.0,-2.984
34332,2S,EE,Perugia,Right,20.0,20.0,-2.977
34332,2S,EE,Perugia,Left,20.0,20.0,-2.984
34332,2S,WW,Perugia,Left,20.0,20.0,-2.996
34332,2S,WW,Perugia,Right,20.0,20.0,-2.994
34332,2S,EE,Perugia,Right,20.0,20.0,-2.99
34332,2S,EE,Perugia,Left,20.0,20.0,-2.244
34332,2S,WW,Perugia,Left,20.0,20.0,-3.008
34332,2S,WW,Perugia,Right,20.0,20.0,-3.015
34332,2S,EE,Perugia,Left,20.0,20.0,-3.012
34332,2S,EE,Perugia,Right,20.0,20.0,-3.012
34332,2S,WW,Perugia,Left,20.0,20.0,-3.022
34332,2S,WW,Perugia,Right,20.0,20.0,-3.03
34332,2S,EE,Perugia,Right,20.0,20.0,-3.036
34332,2S,EE,Perugia,Left,20.0,20.0,-3.049
34332,2S,WW,Perugia,Left,20.0,20.0,-3.049
