batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,VFB_V
34332,2S,WW,Perugia,Right,20.0,20.0,-3.06
34332,2S,EE,Perugia,Right,20.0,20.0,-2.974
34332,2S,WW,Perugia,Left,20.0,20.0,-2.983
34332,2S,WW,Perugia,Right,20.0,20.0,-2.977
34332,2S,EE,Perugia,Left,20.0,20.0,-2.974
34332,2S,EE,Perugia,Right,20.0,20.0,-2.961
34332,2S,WW,Perugia,Left,20.0,20.0,-2.98
34332,2S,WW,Perugia,Right,20.0,20.0,-2.974
34332,2S,EE,Perugia,Right,20.0,20.0,-2.966
34332,2S,EE,Perugia,Left,20.0,20.0,-2.98
34332,2S,WW,Perugia,Left,20.0,20.0,-2.993
34332,2S,WW,Perugia,Right,20.0,20.0,-2.979
34332,2S,EE,Perugia,Right,20.0,20.0,-2.981
34332,2S,EE,Perugia,Left,20.0,20.0,-2.995
34332,2S,WW,Perugia,Left,20.0,20.0,-3.01
34332,2S,WW,Perugia,Right,20.0,20.0,-3.001
34346,2S,EE,Perugia,Left,20.0,20.0,-3.058
34346,2S,EE,Perugia,Right,20.0,20.0,-3.05
34346,2S,WW,Perugia,Left,20.0,20.0,-3.067
34346,2S,WW,Perugia,Right,20.0,20.0,-3.13
34346,2S,EE,Perugia,Right,20.0,20.0,-3.118
34346,2S,EE,Perugia,Left,20.0,20.0,-3.168
34346,2S,WW,Perugia,Right,20.0,20.0,-3.209
34346,2S,WW,Perugia,Left,20.0,20.0,-3.138
34346,2S,EE,Perugia,Right,20.0,20.0,-3.122
34346,2S,EE,Perugia,Left,20.0,20.0,-3.147
34346,2S,WW,Perugia,Right,20.0,20.0,-3.227
34346,2S,WW,Perugia,Left,20.0,20.0,-3.116
34346,2S,EE,Perugia,Left,20.0,20.0,-3.209
34346,2S,EE,Perugia,Right,20.0,20.0,-3.188
34346,2S,WW,Perugia,Left,20.0,20.0,-3.179
34346,2S,EE,Perugia,Left,20.0,20.0,-3.148
34346,2S,EE,Perugia,Right,20.0,20.0,-3.164
34346,2S,WW,Perugia,Left,20.0,20.0,-3.138
34346,2S,WW,Perugia,Right,20.0,20.0,-3.262
34346,2S,EE,Perugia,Right,20.0,20.0,-3.249
34346,2S,EE,Perugia,Left,20.0,20.0,-3.247
34346,2S,WW,Perugia,Right,20.0,20.0,-3.36
34346,2S,WW,Perugia,Left,20.0,20.0,-3.23
34346,2S,EE,Perugia,Right,20.0,20.0,-3.099
34346,2S,EE,Perugia,Left,20.0,20.0,-3.121
34346,2S,WW,Perugia,Right,20.0,20.0,-3.138
34346,2S,WW,Perugia,Left,20.0,20.0,-3.079
34346,2S,EE,Perugia,Right,20.0,20.0,-3.096
34346,2S,EE,Perugia,Left,20.0,20.0,-3.127
34346,2S,WW,Perugia,Left,20.0,20.0,-3.099
34346,2S,WW,Perugia,Right,20.0,20.0,-3.186
34346,2S,EE,Perugia,Left,20.0,20.0,-3.107
34346,2S,EE,Perugia,Right,20.0,20.0,-3.094
34346,2S,WW,Perugia,Right,20.0,20.0,-3.168
34346,2S,WW,Perugia,Left,20.0,20.0,-3.097
34346,2S,EE,Perugia,Left,20.0,20.0,-3.035
34346,2S,EE,Perugia,Right,20.0,20.0,-3.064
34346,2S,EE,Perugia,Right,20.0,20.0,-3.018
34346,2S,WW,Perugia,Left,20.0,20.0,-3.031
34348,2S,EE,Perugia,Left,20.0,20.0,-2.586
34348,2S,WW,Perugia,Left,20.0,20.0,-2.486
34348,2S,EE,Perugia,Left,20.0,20.0,-2.57
34348,2S,EE,Perugia,Left,20.0,20.0,-2.296
34348,2S,WW,Perugia,Left,20.0,20.0,-2.518
34348,2S,EE,Perugia,Left,20.0,20.0,-2.589
34348,2S,WW,Perugia,Left,20.0,20.0,-2.64
34348,2S,EE,Perugia,Left,20.0,20.0,-2.555
34348,2S,WW,Perugia,Left,20.0,20.0,-2.53
34348,2S,EE,Perugia,Left,20.0,20.0,-2.818
34348,2S,WW,Perugia,Left,20.0,20.0,-2.497
34348,2S,EE,Perugia,Left,20.0,20.0,-2.592
34348,2S,WW,Perugia,Left,20.0,20.0,-2.739
34348,2S,EE,Perugia,Left,20.0,20.0,-2.57
34348,2S,WW,Perugia,Left,20.0,20.0,-2.688
34348,2S,EE,Perugia,Left,20.0,20.0,-2.526
34348,2S,WW,Perugia,Left,20.0,20.0,-2.609
34348,2S,WW,Perugia,Left,20.0,20.0,-2.609
34348,2S,EE,Perugia,Left,20.0,20.0,-2.742
34348,2S,WW,Perugia,Left,20.0,20.0,-2.631
34348,2S,EE,Perugia,Left,20.0,20.0,-2.525
34348,2S,WW,Perugia,Left,20.0,20.0,-2.521
34348,2S,WW,Perugia,Left,20.0,20.0,-2.438
34348,2S,EE,Perugia,Left,20.0,20.0,-2.339
34348,2S,WW,Perugia,Left,20.0,20.0,-2.368
34331,2S,EE,Brown,Left,20.0,20.127,-2.954
34331,2S,EE,Brown,Right,20.0,20.094,-3.039
34331,2S,WW,Brown,Right,20.0,20.053,-3.039
34331,2S,WW,Brown,Left,20.0,20.1,-2.965
34331,2S,EE,Brown,Right,20.0,20.003,-3.03
34331,2S,WW,Brown,Right,20.0,20.047,-3.005
34331,2S,WW,Brown,Left,20.0,-223.677,-2.927
34331,2S,EE,Brown,Right,20.0,20.018,-2.972
34331,2S,EE,Brown,Right,20.0,20.023,-3.054
34331,2S,WW,Brown,Right,20.0,20.078,-3.024
34331,2S,WW,Brown,Right,20.0,20.071,-2.945
34331,2S,EE,Brown,Right,20.0,20.134,-2.954
34331,2S,EE,Brown,Right,20.0,20.133,-3.036
34331,2S,EE,Brown,Right,20.0,20.023,-2.946
34331,2S,EE,Brown,Right,20.0,20.006,-3.047
34331,2S,EE,Brown,Right,20.0,20.107,-3.029
34331,2S,EE,Brown,Right,20.0,20.103,-2.947
34331,2S,WW,Brown,Right,20.0,20.059,-3.032
34331,2S,WW,Brown,Right,20.0,20.05,-2.962
34331,2S,EE,Brown,Right,20.0,20.115,-3.01
34331,2S,EE,Brown,Right,20.0,20.004,-2.925
34331,2S,WW,Brown,Right,20.0,20.02,-3.036
34331,2S,WW,Brown,Right,20.0,20.018,-2.971
34331,2S,EE,Brown,Right,20.0,20.08,-3.051
34331,2S,EE,Brown,Right,20.0,20.077,-2.975
34331,2S,WW,Brown,Left,20.0,20.091,-2.965
34331,2S,WW,Brown,Left,20.0,20.019,-2.893
34331,2S,EE,Brown,Right,20.0,20.043,-2.952
34331,2S,EE,Brown,Right,20.0,20.002,-3.049
34331,2S,WW,Brown,Right,20.0,20.003,-2.986
34331,2S,WW,Brown,Right,20.0,20.002,-3.05
34331,2S,EE,Brown,Right,20.0,20.004,-3.051
34331,2S,EE,Brown,Right,20.0,20.003,-2.972
34331,2S,WW,Brown,Right,20.0,20.003,-3.031
34331,2S,WW,Brown,Right,20.0,20.003,-2.957
34331,2S,EE,Brown,Right,20.0,20.002,-2.774
34331,2S,EE,Brown,Right,20.0,20.019,-2.868
34331,2S,WW,Brown,Left,20.0,20.014,-2.767
34331,2S,WW,Brown,Left,20.0,20.055,-2.85
34331,2S,EE,Brown,Right,20.0,20.005,-2.893
34331,2S,EE,Brown,Right,20.0,20.004,-2.82
34331,2S,WW,Brown,Right,20.0,20.001,-2.906
34331,2S,WW,Brown,Right,20.0,20.002,-2.995
34331,2S,EE,Brown,Right,20.0,20.005,-2.859
34331,2S,EE,Brown,Right,20.0,20.013,-2.937
34331,2S,WW,Brown,Right,20.0,20.067,-2.974
34331,2S,WW,Brown,Right,20.0,20.064,-2.893
34331,2S,EE,Brown,Right,20.0,20.139,-2.844
34331,2S,EE,Brown,Right,20.0,20.139,-2.915
34331,2S,WW,Brown,Right,20.0,20.054,-2.881
34331,2S,WW,Brown,Right,20.0,20.085,-3.009
34331,2S,EE,Brown,Left,20.0,20.092,-2.799
34331,2S,WW,Brown,Left,20.0,20.071,-2.863
34331,2S,EE,Brown,Left,20.0,20.106,-2.846
34331,2S,WW,Brown,Right,20.0,20.074,-3.008
34331,2S,WW,Brown,Right,20.0,20.066,-2.923
34331,2S,EE,Brown,Right,20.0,20.01,-2.961
34331,2S,EE,Brown,Left,20.0,20.086,-2.918
34331,2S,WW,Brown,Left,20.0,20.068,-2.893
34331,2S,WW,Brown,Left,20.0,20.078,-2.905
34331,2S,EE,Brown,Right,20.0,20.104,-2.957
34331,2S,WW,Brown,Right,20.0,20.154,-3.016
34331,2S,WW,Brown,Left,20.0,20.107,-2.834
34340,PSS,WW,Brown,Right,20.0,20.006,-2.967
34340,PSS,EE,Brown,Right,20.0,20.049,-2.843
34340,PSS,WW,Brown,Right,20.0,20.005,-2.932
34340,PSS,EE,Brown,Right,20.0,20.002,-2.866
34340,PSS,WW,Brown,Right,20.0,20.003,-2.952
34340,PSS,EE,Brown,Right,20.0,20.026,-2.901
34340,PSS,WW,Brown,Right,20.0,20.023,-2.934
34340,PSS,EE,Brown,Right,20.0,20.001,-2.882
34340,PSS,WW,Brown,Right,20.0,20.006,-2.941
34340,PSS,EE,Brown,Right,20.0,20.03,-2.872
34340,PSS,WW,Brown,Right,20.0,20.009,-2.949
34340,PSS,EE,Brown,Right,20.0,20.002,-2.884
34340,PSS,WW,Brown,Right,20.0,20.046,-2.946
34340,PSS,EE,Brown,Right,20.0,20.047,-2.878
34340,PSS,WW,Brown,Right,20.0,20.016,-0.466
34340,PSS,WW,Brown,Left,20.0,20.102,-2.881
34340,PSS,EE,Brown,Right,20.0,20.031,-2.862
34340,PSS,WW,Brown,Right,20.0,20.008,-2.939
34340,PSS,EE,Brown,Right,20.0,20.01,-2.892
34340,PSS,WW,Brown,Left,20.0,20.022,-2.821
34340,PSS,WW,Brown,Right,20.0,20.012,-2.018
34340,PSS,EE,Brown,Right,20.0,20.027,-2.793
34340,PSS,WW,Brown,Right,20.0,20.003,-2.897
34340,PSS,EE,Brown,Right,20.0,20.081,-2.781
34340,PSS,WW,Brown,Right,20.0,20.098,-2.863
34340,PSS,EE,Brown,Right,20.0,20.02,-2.784
34340,PSS,WW,Brown,Right,20.0,20.003,-2.854
34340,PSS,EE,Brown,Right,20.0,20.022,-2.804
34340,PSS,WW,Brown,Right,20.0,20.01,-2.901
34340,PSS,EE,Brown,Right,20.0,20.013,-2.806
34340,PSS,WW,Brown,Right,20.0,20.029,-2.852
34340,PSS,EE,Brown,Right,20.0,20.058,-2.857
34340,PSS,WW,Brown,Right,20.0,20.061,-2.881
34340,PSS,EE,Brown,Right,20.0,20.004,-2.838
34254,PSS,EE,Brown,Right,20.0,20.003,-2.866
34254,PSS,WW,Brown,Right,20.0,20.008,-2.919
34254,PSS,EE,Brown,Right,20.0,20.062,-2.858
34254,PSS,WW,Brown,Right,20.0,20.011,-2.935
34254,PSS,EE,Brown,Right,20.0,20.004,-2.835
34254,PSS,WW,Brown,Right,20.0,20.011,-2.935
34254,PSS,EE,Brown,Left,20.0,20.064,-2.813
34254,PSS,WW,Brown,Right,20.0,20.119,-2.904
34254,PSS,EE,Brown,Right,20.0,20.006,-2.869
34254,PSS,WW,Brown,Right,20.0,20.026,-2.94
34254,PSS,EE,Brown,Right,20.0,20.08,-2.894
34254,PSS,WW,Brown,Right,20.0,20.133,-2.913
34254,PSS,EE,Brown,Right,20.0,20.003,-2.908
34254,PSS,WW,Brown,Left,20.0,20.159,-2.873
34254,PSS,EE,Brown,Right,20.0,20.009,-2.88
34254,PSS,WW,Brown,Right,20.0,20.004,-2.933
34254,PSS,EE,Brown,Right,20.0,20.004,-2.899
34254,PSS,WW,Brown,Right,20.0,20.003,-2.942
34254,PSS,EE,Brown,Right,20.0,20.008,-2.943
34254,PSS,WW,Brown,Right,20.0,20.004,-2.968
34254,PSS,EE,Brown,Right,20.0,20.002,-2.95
34254,PSS,WW,Brown,Left,20.0,20.009,-2.916
34254,PSS,EE,Brown,Right,20.0,20.012,-2.97
34254,PSS,WW,Brown,Left,20.0,20.019,-2.895
34254,PSS,EE,Brown,Right,20.0,20.002,-2.953
34254,PSS,WW,Brown,Right,20.0,20.002,-2.979
34254,PSS,EE,Brown,Right,20.0,20.01,-2.954
34254,PSS,WW,Brown,Right,20.0,20.004,-2.967
34254,PSS,EE,Brown,Right,20.0,20.008,-2.905
34254,PSS,WW,Brown,Right,20.0,20.002,-2.953
34254,PSS,EE,Brown,Right,20.0,20.017,-2.956
34254,PSS,WW,Brown,Right,20.0,20.006,-2.955
34254,PSS,EE,Brown,Right,20.0,20.001,-2.958
34254,PSS,WW,Brown,Right,20.0,20.002,-2.961
34254,PSS,EE,Brown,Left,20.0,20.034,-2.701
34254,PSS,WW,Brown,Left,20.0,20.025,-2.789
34254,PSS,EE,Brown,Right,20.0,20.106,-2.706
34254,PSS,WW,Brown,Right,20.0,20.017,-2.79
34254,PSS,EE,Brown,Right,20.0,20.024,-2.761
34254,PSS,WW,Brown,Right,20.0,20.008,-2.83
34254,PSS,EE,Brown,Right,20.0,20.002,-2.767
34254,PSS,WW,Brown,Right,20.0,20.002,-2.852
34254,PSS,EE,Brown,Right,20.0,20.015,-2.813
34254,PSS,WW,Brown,Right,20.0,20.004,-2.89
34254,PSS,EE,Brown,Right,20.0,20.003,-2.831
34254,PSS,WW,Brown,Right,20.0,20.029,-2.899
34254,PSS,EE,Brown,Right,20.0,20.085,-2.821
34254,PSS,WW,Brown,Right,20.0,25.562,-2.855
34254,PSS,EE,Brown,Right,20.0,20.003,-2.84
34254,PSS,WW,Brown,Right,20.0,20.004,-2.94
34254,PSS,EE,Brown,Right,20.0,20.014,-2.841
34254,PSS,WW,Brown,Right,20.0,20.004,-2.917
34254,PSS,EE,Brown,Right,20.0,20.009,-2.837
34254,PSS,WW,Brown,Right,20.0,20.002,-2.916
34254,PSS,EE,Brown,Right,20.0,20.163,-2.823
34254,PSS,WW,Brown,Right,20.0,20.004,-2.926
34340,PSS,WW,Brown,Right,20.0,20.012,-2.934
34340,PSS,EE,Brown,Right,20.0,20.065,-2.836
34340,PSS,WW,Brown,Right,20.0,20.043,-2.861
34340,PSS,EE,Brown,Right,20.0,20.059,-2.801
34340,PSS,WW,Brown,Right,20.0,20.009,-2.935
34340,PSS,EE,Brown,Left,20.0,20.051,-2.808
34340,PSS,WW,Brown,Right,20.0,20.025,-2.944
34354,2S,EE,Perugia,Left,20.0,20.0,-3.098
34354,2S,EE,Perugia,Left,20.0,20.0,-3.065
34354,2S,EE,Perugia,Left,20.0,20.0,-3.143
34354,2S,WW,Perugia,Left,20.0,20.0,-3.124
34352,2S,EE,Perugia,Left,20.0,20.0,-2.359
34352,2S,EE,Perugia,Left,20.0,20.0,-2.359
34352,2S,WW,Perugia,Left,20.0,20.0,-2.521
34352,2S,EE,Perugia,Left,20.0,20.0,-2.456
34352,2S,WW,Perugia,Left,20.0,20.0,-2.621
34352,2S,EE,Perugia,Left,20.0,20.0,-2.403
34352,2S,WW,Perugia,Left,20.0,20.0,-2.623
34352,2S,EE,Perugia,Left,20.0,20.0,-2.548
34352,2S,WW,Perugia,Left,20.0,20.0,-2.579
34352,2S,EE,Perugia,Left,20.0,20.0,-2.685
34352,2S,WW,Perugia,Left,20.0,20.0,-2.759
34353,2S,EE,Brown,Left,20.0,20.044,-2.762
34353,2S,WW,Brown,Right,20.0,20.036,-2.81
34353,2S,EE,Brown,Left,20.0,20.095,-2.843
34353,2S,WW,Brown,Right,20.0,20.062,-2.863
34353,2S,EE,Brown,Right,20.0,20.012,-2.956
34353,2S,WW,Brown,Right,20.0,20.046,-2.903
34353,2S,EE,Brown,Right,20.0,20.106,-2.968
34353,2S,WW,Brown,Left,20.0,20.158,-2.878
34353,2S,EE,Brown,Right,20.0,20.037,-2.97
34353,2S,WW,Brown,Right,20.0,20.06,-2.91
34353,2S,EE,Brown,Right,20.0,20.106,-2.991
34353,2S,WW,Brown,Right,20.0,20.166,-2.919
34353,2S,EE,Brown,Left,20.0,20.078,-2.779
34353,2S,WW,Brown,Left,20.0,20.112,-2.718
34353,2S,EE,Brown,Right,20.0,20.095,-2.767
34353,2S,WW,Brown,Left,20.0,20.152,-2.67
34353,2S,EE,Brown,Right,20.0,20.01,-2.782
34353,2S,WW,Brown,Right,20.0,20.046,-2.757
34353,2S,EE,Brown,Left,20.0,20.149,-2.764
34353,2S,WW,Brown,Right,20.0,20.054,-2.813
34353,2S,EE,Brown,Right,20.0,20.005,-2.758
34353,2S,WW,Brown,Right,20.0,20.003,-2.785
34353,2S,EE,Brown,Right,20.0,20.031,-2.764
34353,2S,WW,Brown,Right,20.0,20.004,-2.798
34353,2S,EE,Brown,Right,20.0,20.003,-2.801
34353,2S,WW,Brown,Right,20.0,20.011,-2.847
34353,2S,EE,Brown,Right,20.0,20.02,-2.789
34353,2S,WW,Brown,Right,20.0,20.009,-2.844
34353,2S,EE,Brown,Right,20.0,20.004,-2.86
34353,2S,WW,Brown,Right,20.0,20.003,-2.859
34353,2S,EE,Brown,Right,20.0,20.014,-2.876
34353,2S,WW,Brown,Right,20.0,20.004,-2.855
34357,2S,WW,Perugia,Left,20.0,20.0,-2.395
34357,2S,EE,Perugia,Left,20.0,20.0,-2.388
34357,2S,WW,Perugia,Left,20.0,20.0,-2.434
34357,2S,EE,Perugia,Left,20.0,20.0,-2.376
34357,2S,WW,Perugia,Left,20.0,20.0,-2.4
34357,2S,EE,Perugia,Left,20.0,20.0,-2.276
34357,2S,WW,Perugia,Left,20.0,20.0,-2.35
34357,2S,EE,Perugia,Left,20.0,20.0,-2.348
34357,2S,WW,Perugia,Left,20.0,20.0,-2.363
34357,2S,EE,Perugia,Left,20.0,20.0,-2.469
34357,2S,WW,Perugia,Left,20.0,20.0,-2.396
34357,2S,EE,Perugia,Left,20.0,20.0,-2.574
34357,2S,WW,Perugia,Left,20.0,20.0,-2.524
34357,2S,EE,Perugia,Left,20.0,20.0,-2.398
34357,2S,WW,Perugia,Left,20.0,20.0,-2.462
34357,2S,EE,Perugia,Left,20.0,20.0,-2.567
34357,2S,WW,Perugia,Left,20.0,20.0,-2.543
34357,2S,EE,Perugia,Left,20.0,20.0,-2.639
34357,2S,WW,Perugia,Left,20.0,20.0,-2.571
34357,2S,EE,Perugia,Left,20.0,20.0,-2.248
34357,2S,EE,Perugia,Left,20.0,20.0,-2.248
34357,2S,EE,Perugia,Left,20.0,20.0,-2.168
34357,2S,EE,Perugia,Left,20.0,20.0,-2.249
34354,2S,EE,Perugia,Left,20.0,20.0,-3.153
34354,2S,WW,Perugia,Left,20.0,20.0,-3.094
34354,2S,EE,Perugia,Left,20.0,20.0,-3.08
34354,2S,WW,Perugia,Left,20.0,20.0,-3.054
34354,2S,EE,Perugia,Left,20.0,20.0,-3.071
34354,2S,WW,Perugia,Left,20.0,20.0,-3.077
34354,2S,EE,Perugia,Left,20.0,20.0,-3.193
34354,2S,WW,Perugia,Left,20.0,20.0,-3.066
34354,2S,EE,Perugia,Left,20.0,20.0,-3.072
34354,2S,WW,Perugia,Left,20.0,20.0,-3.085
34354,2S,EE,Perugia,Left,20.0,20.0,-3.074
34354,2S,WW,Perugia,Left,20.0,20.0,-3.099
34354,2S,EE,Perugia,Left,20.0,20.0,-3.079
34354,2S,WW,Perugia,Left,20.0,20.0,-3.118
34354,2S,EE,Perugia,Left,20.0,20.0,-3.068
34354,2S,WW,Perugia,Left,20.0,20.0,-3.092
34354,2S,EE,Perugia,Left,20.0,20.0,-3.07
34354,2S,WW,Perugia,Left,20.0,20.0,-3.12
34354,2S,EE,Perugia,Left,20.0,20.0,-2.955
34354,2S,WW,Perugia,Left,20.0,20.0,-2.929
34354,2S,EE,Perugia,Left,20.0,20.0,-2.956
34354,2S,WW,Perugia,Left,20.0,20.0,-2.94
34354,2S,EE,Perugia,Left,20.0,20.0,-2.959
34354,2S,WW,Perugia,Left,20.0,20.0,-2.968
34354,2S,EE,Perugia,Left,20.0,20.0,-2.974
34354,2S,WW,Perugia,Left,20.0,20.0,-2.982
34354,2S,EE,Perugia,Left,20.0,20.0,-2.969
34354,2S,WW,Perugia,Left,20.0,20.0,-2.96
34354,2S,EE,Perugia,Left,20.0,20.0,-2.984
34354,2S,WW,Perugia,Left,20.0,20.0,-3.012
34354,2S,EE,Perugia,Left,20.0,20.0,-2.978
34354,2S,WW,Perugia,Left,20.0,20.0,-3.0
34354,2S,EE,Perugia,Left,20.0,20.0,-2.987
34354,2S,WW,Perugia,Left,20.0,20.0,-3.02
34354,2S,EE,Perugia,Left,20.0,20.0,-2.986
34354,2S,WW,Perugia,Left,20.0,20.0,-2.987
34354,2S,EE,Perugia,Left,20.0,20.0,-2.991
34354,2S,EE,Perugia,Left,20.0,20.0,-3.014
34354,2S,EE,Perugia,Left,20.0,20.0,-2.982
34354,2S,WW,Perugia,Left,20.0,20.0,-3.009
34357,2S,EE,Perugia,Left,20.0,20.0,-2.247
34357,2S,WW,Perugia,Left,20.0,20.0,-2.26
34357,2S,EE,Perugia,Left,20.0,20.0,-2.252
34357,2S,WW,Perugia,Left,20.0,20.0,-2.277
34357,2S,EE,Perugia,Left,20.0,20.0,-2.296
34357,2S,WW,Perugia,Left,20.0,20.0,-2.273
34359,2S,EE,Brown,Right,20.0,20.004,-2.748
34359,2S,WW,Brown,Right,20.0,20.003,-2.797
34359,2S,EE,Brown,Left,20.0,20.068,-2.746
34359,2S,WW,Brown,Right,20.0,20.001,-2.763
34359,2S,EE,Brown,Right,20.0,20.003,-2.74
34359,2S,WW,Brown,Right,20.0,20.002,-2.799
34359,2S,EE,Brown,Right,20.0,20.003,-2.876
34359,2S,WW,Brown,Right,20.0,20.003,-2.824
34359,2S,EE,Brown,Right,20.0,20.004,-2.753
34359,2S,WW,Brown,Left,20.0,20.032,-2.626
34359,2S,EE,Brown,Left,20.0,20.031,-2.799
34359,2S,WW,Brown,Right,20.0,20.004,-2.84
34359,2S,EE,Brown,Right,20.0,20.002,-2.761
34359,2S,WW,Brown,Right,20.0,20.003,-2.84
34359,2S,EE,Brown,Right,20.0,20.009,-2.754
34359,2S,WW,Brown,Left,20.0,20.103,-2.57
34359,2S,EE,Brown,Right,20.0,20.003,-2.836
34359,2S,WW,Brown,Right,20.0,20.002,-2.875
34359,2S,EE,Brown,Right,20.0,20.011,-2.826
34359,2S,WW,Brown,Right,20.0,20.003,-2.863
34359,2S,EE,Brown,Left,20.0,20.011,-2.617
34359,2S,WW,Brown,Right,20.0,20.004,-2.644
34359,2S,EE,Brown,Left,20.0,20.033,-2.604
34359,2S,WW,Brown,Right,20.0,20.003,-2.671
34359,2S,EE,Brown,Right,20.0,20.002,-2.759
34359,2S,WW,Brown,Right,20.0,20.004,-2.758
34359,2S,EE,Brown,Right,20.0,20.009,-2.732
34359,2S,WW,Brown,Right,20.0,20.002,-2.782
34341,PSS,EE,Brown,Right,20.0,20.062,-3.062
34341,PSS,WW,Brown,Right,20.0,20.024,-3.011
34341,PSS,EE,Brown,Right,20.0,20.002,-3.149
34341,PSS,WW,Brown,Right,20.0,20.004,-3.101
34341,PSS,EE,Brown,Right,20.0,20.007,-3.141
34341,PSS,WW,Brown,Left,20.0,20.103,-3.0
34341,PSS,EE,Brown,Right,20.0,20.106,-3.12
34341,PSS,WW,Brown,Right,20.0,20.062,-3.083
34341,PSS,EE,Brown,Right,20.0,20.056,-3.095
34341,PSS,WW,Brown,Right,20.0,20.045,-3.103
34341,PSS,EE,Brown,Right,20.0,20.107,-3.094
34341,PSS,WW,Brown,Left,20.0,20.125,-3.0
34341,PSS,EE,Brown,Right,20.0,20.012,-3.133
34341,PSS,WW,Brown,Right,20.0,20.045,-3.116
34341,PSS,EE,Brown,Left,20.0,20.086,-2.984
34341,PSS,WW,Brown,Right,20.0,20.055,-3.065
34341,PSS,EE,Brown,Right,20.0,20.002,-3.178
