batch_number,Type,Orientation,AGGREGATED_COND_DATA_SET_ID,PART_ID,PART_NAME_LABEL,VFB_V,CACC_PFRD,NOX,TOX_NM,PART_NAME_LABEL.1,KIND_OF_HM_FLUTE_ID,KIND_OF_HM_STRUCT_ID,KIND_OF_HM_CONFIG_ID,KIND_OF_HM_SET_ID,PROCEDURE_TYPE,EQUIPMENT,WAITING_TIME_S,AC_FREQ_HZ,AC_AMPL_V,TEMP_SET_DEGC,AV_TEMP_DEGC,FILE_NAME,Location
35953,2S,EE,698561,52678,35953_017_2-S_HM_EE,-2.977,86.166,118528400000.0,666.582,35953_017_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Left,MOS capacitor (HV Src),PQC Flute 1 Pos2,0.1,10000.0,0.25,,,HPK_VPX35953_017_2-S_HM_EL__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-07T21-13-22.json,HEPHY
35953,2S,EE,707281,52678,35953_017_2-S_HM_EE,-2.963,85.146,116670300000.0,674.565,35953_017_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Right,MOS capacitor (HV Src),PQC Flute 1 Pos2,0.1,10000.0,0.25,,,HPK_VPX35953_017_2-S_HM_ER__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-07T19-44-56.json,HEPHY
35953,2S,WW,699661,52691,35953_017_2-S_HM_WW,-3.031,85.397,119182500000.0,672.583,35953_017_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Right,MOS capacitor (HV Src),PQC Flute 1 Pos1,0.1,10000.0,0.25,,,HPK_VPX35953_017_2-S_HM_WR__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-07T16-46-45.json,HEPHY
35953,2S,WW,703661,52691,35953_017_2-S_HM_WW,-2.853,84.815,112709400000.0,677.2,35953_017_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Left,MOS capacitor (HV Src),PQC Flute 1 Pos1,0.1,10000.0,0.25,,,HPK_VPX35953_017_2-S_HM_WL__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-07T18-15-12.json,HEPHY
35953,2S,EE,697461,53132,35953_024_2-S_HM_EE,-3.012,86.306,119847000000.0,665.494,35953_024_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Left,MOS capacitor (HV Src),PQC Flute 1 Pos4,0.1,10000.0,0.25,,,HPK_VPX35953_024_2-S_HM_EL__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-08T03-27-39.json,HEPHY
35953,2S,EE,698801,53132,35953_024_2-S_HM_EE,-3.053,85.151,119547000000.0,674.527,35953_024_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Right,MOS capacitor (HV Src),PQC Flute 1 Pos4,0.1,10000.0,0.25,,,HPK_VPX35953_024_2-S_HM_ER__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-08T02-02-12.json,HEPHY
35953,2S,WW,710081,53135,35953_024_2-S_HM_WW,-2.962,84.929,116333300000.0,676.288,35953_024_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Left,MOS capacitor (HV Src),PQC Flute 1 Pos3,0.1,10000.0,0.25,,,HPK_VPX35953_024_2-S_HM_WL__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-08T00-14-25.json,HEPHY
35953,2S,WW,713101,53135,35953_024_2-S_HM_WW,-3.056,85.851,120645800000.0,669.024,35953_024_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Right,MOS capacitor (HV Src),PQC Flute 1 Pos3,0.1,10000.0,0.25,,,HPK_VPX35953_024_2-S_HM_WR__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-07T22-50-59.json,HEPHY
35953,2S,EE,706241,53198,35953_035_2-S_HM_EE,-2.892,85.444,114815000000.0,672.21,35953_035_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Right,MOS capacitor (HV Src),PQC Flute 1 Pos2,0.1,10000.0,0.25,,,HPK_VPX35953_035_2-S_HM_ER__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-09T12-31-49.json,HEPHY
35953,2S,EE,709401,53198,35953_035_2-S_HM_EE,-2.796,86.099,112582700000.0,667.094,35953_035_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Left,MOS capacitor (HV Src),PQC Flute 1 Pos2,0.1,10000.0,0.25,,,HPK_VPX35953_035_2-S_HM_EL__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-12T13-13-54.json,HEPHY
35953,2S,WW,701761,53211,35953_035_2-S_HM_WW,-2.888,85.534,114784600000.0,671.505,35953_035_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Left,MOS capacitor (HV Src),PQC Flute 1 Pos1,0.1,10000.0,0.25,,,HPK_VPX35953_035_2-S_HM_WL__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-12T11-48-08.json,HEPHY
