batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,NOX
34332,2S,WW,Perugia,Left,20.0,20.0,74384791995.403
34332,2S,WW,Perugia,Right,20.0,20.0,75002509910.206
34332,2S,EE,Perugia,Right,20.0,20.0,74616644542.708
34332,2S,EE,Perugia,Left,20.0,20.0,75992158692.176
34332,2S,WW,Perugia,Left,20.0,20.0,75158805046.663
34332,2S,WW,Perugia,Right,20.0,20.0,75828108230.495
34346,2S,EE,Perugia,Left,20.0,20.0,78746232118.811
34346,2S,EE,Perugia,Right,20.0,20.0,76952068770.176
34346,2S,WW,Perugia,Left,20.0,20.0,77333232773.978
34346,2S,WW,Perugia,Right,20.0,20.0,80596010365.326
34346,2S,EE,Perugia,Right,20.0,20.0,79394083427.805
34346,2S,EE,Perugia,Left,20.0,20.0,81709785159.033
34346,2S,WW,Perugia,Right,20.0,20.0,83377255749.135
34346,2S,WW,Perugia,Left,20.0,20.0,79875017759.559
34346,2S,EE,Perugia,Right,20.0,20.0,79626352132.846
34346,2S,EE,Perugia,Left,20.0,20.0,81341400475.834
34346,2S,WW,Perugia,Right,20.0,20.0,83638207615.008
34346,2S,WW,Perugia,Left,20.0,20.0,79289185795.563
34346,2S,EE,Perugia,Left,20.0,20.0,83644737648.788
34346,2S,EE,Perugia,Right,20.0,20.0,81622566977.865
34346,2S,WW,Perugia,Left,20.0,20.0,81248624916.079
34346,2S,EE,Perugia,Left,20.0,20.0,81863391885.676
34346,2S,EE,Perugia,Right,20.0,20.0,80740513649.447
34346,2S,WW,Perugia,Left,20.0,20.0,80089175149.956
34346,2S,WW,Perugia,Right,20.0,20.0,85113533598.296
34346,2S,EE,Perugia,Right,20.0,20.0,83872656152.647
34346,2S,EE,Perugia,Left,20.0,20.0,85012783821.917
34346,2S,WW,Perugia,Right,20.0,20.0,88547988021.403
34346,2S,WW,Perugia,Left,20.0,20.0,83072172719.021
34346,2S,EE,Perugia,Right,20.0,20.0,79547877251.567
34346,2S,EE,Perugia,Left,20.0,20.0,80760493151.963
34346,2S,WW,Perugia,Right,20.0,20.0,81229325603.377
34346,2S,WW,Perugia,Left,20.0,20.0,78331201762.324
34346,2S,EE,Perugia,Right,20.0,20.0,79457841990.523
34346,2S,EE,Perugia,Left,20.0,20.0,81443678189.505
34346,2S,WW,Perugia,Left,20.0,20.0,79220681531.206
34346,2S,WW,Perugia,Right,20.0,20.0,83157596173.763
34346,2S,EE,Perugia,Left,20.0,20.0,80752179851.353
34346,2S,EE,Perugia,Right,20.0,20.0,79682699514.556
34346,2S,WW,Perugia,Right,20.0,20.0,82514993959.612
34346,2S,WW,Perugia,Left,20.0,20.0,79308341467.583
34346,2S,EE,Perugia,Left,20.0,20.0,78554937581.403
34346,2S,EE,Perugia,Right,20.0,20.0,79172633631.073
34346,2S,EE,Perugia,Right,20.0,20.0,76878698514.064
34346,2S,WW,Perugia,Left,20.0,20.0,77133415801.158
34348,2S,EE,Perugia,Left,20.0,20.0,62806077329.124
34348,2S,WW,Perugia,Left,20.0,20.0,58272823699.058
34348,2S,EE,Perugia,Left,20.0,20.0,62219062637.36
34348,2S,EE,Perugia,Left,20.0,20.0,53203945521.796
34348,2S,WW,Perugia,Left,20.0,20.0,59373302488.829
34348,2S,EE,Perugia,Left,20.0,20.0,62605237151.355
34348,2S,WW,Perugia,Left,20.0,20.0,63274048626.645
34348,2S,EE,Perugia,Left,20.0,20.0,61496277300.751
34348,2S,WW,Perugia,Left,20.0,20.0,59895755193.335
34348,2S,EE,Perugia,Left,20.0,20.0,70412866353.51
34348,2S,WW,Perugia,Left,20.0,20.0,58630996596.181
34348,2S,EE,Perugia,Left,20.0,20.0,62673591938.327
34348,2S,WW,Perugia,Left,20.0,20.0,66686114226.396
34348,2S,EE,Perugia,Left,20.0,20.0,61815084781.125
34348,2S,WW,Perugia,Left,20.0,20.0,65062937718.093
34348,2S,EE,Perugia,Left,20.0,20.0,60461791338.436
34348,2S,WW,Perugia,Left,20.0,20.0,62742350388.137
34348,2S,WW,Perugia,Left,20.0,20.0,62739817836.322
34348,2S,EE,Perugia,Left,20.0,20.0,67491517941.375
34348,2S,WW,Perugia,Left,20.0,20.0,62973610067.369
34348,2S,EE,Perugia,Left,20.0,20.0,60840263725.238
34348,2S,WW,Perugia,Left,20.0,20.0,59743853099.316
34348,2S,WW,Perugia,Left,20.0,20.0,57143825648.803
34348,2S,EE,Perugia,Left,20.0,20.0,54462761056.521
34348,2S,WW,Perugia,Left,20.0,20.0,55275194181.061
34354,2S,EE,Perugia,Left,20.0,20.0,79164340725.166
34354,2S,EE,Perugia,Left,20.0,20.0,77723646212.921
34354,2S,EE,Perugia,Left,20.0,20.0,80220825880.845
34354,2S,WW,Perugia,Left,20.0,20.0,77615765912.464
34352,2S,EE,Perugia,Left,20.0,20.0,56098252631.149
34352,2S,EE,Perugia,Left,20.0,20.0,56098252631.149
34352,2S,WW,Perugia,Left,20.0,20.0,60910754903.375
34352,2S,EE,Perugia,Left,20.0,20.0,59418112072.367
34352,2S,WW,Perugia,Left,20.0,20.0,64177102085.526
34352,2S,EE,Perugia,Left,20.0,20.0,57522175611.115
34352,2S,WW,Perugia,Left,20.0,20.0,64242661466.449
34352,2S,EE,Perugia,Left,20.0,20.0,62409091874.145
34352,2S,WW,Perugia,Left,20.0,20.0,62863140449.776
34352,2S,EE,Perugia,Left,20.0,20.0,66968176366.136
34352,2S,WW,Perugia,Left,20.0,20.0,68975823048.393
34353,2S,EE,Brown,Left,20.0,20.044,80482500000.0
34353,2S,WW,Brown,Right,20.0,20.036,81566830000.0
34353,2S,EE,Brown,Left,20.0,20.095,82869000000.0
34353,2S,WW,Brown,Right,20.0,20.062,83167320000.0
34353,2S,EE,Brown,Right,20.0,20.012,84903060000.0
34353,2S,WW,Brown,Right,20.0,20.046,84054890000.0
34353,2S,EE,Brown,Right,20.0,20.106,85179910000.0
34353,2S,WW,Brown,Left,20.0,20.158,82143470000.0
34353,2S,EE,Brown,Right,20.0,20.037,85374820000.0
34353,2S,WW,Brown,Right,20.0,20.06,84465330000.0
34353,2S,EE,Brown,Right,20.0,20.106,86070020000.0
34353,2S,WW,Brown,Right,20.0,20.166,84964930000.0
34353,2S,EE,Brown,Left,20.0,20.078,80669400000.0
34353,2S,WW,Brown,Left,20.0,20.112,77644670000.0
34353,2S,EE,Brown,Right,20.0,20.095,79410120000.0
34353,2S,WW,Brown,Left,20.0,20.152,75797620000.0
34353,2S,EE,Brown,Right,20.0,20.01,79968620000.0
34353,2S,WW,Brown,Right,20.0,20.046,80228240000.0
34353,2S,EE,Brown,Left,20.0,20.149,80427920000.0
34353,2S,WW,Brown,Right,20.0,20.054,81605950000.0
34353,2S,EE,Brown,Right,20.0,20.005,78990710000.0
34353,2S,WW,Brown,Right,20.0,20.003,80729120000.0
34353,2S,EE,Brown,Right,20.0,20.031,78853630000.0
34353,2S,WW,Brown,Right,20.0,20.004,81162190000.0
34353,2S,EE,Brown,Right,20.0,20.003,80911950000.0
34353,2S,WW,Brown,Right,20.0,20.011,83259190000.0
34353,2S,EE,Brown,Right,20.0,20.02,80312900000.0
34353,2S,WW,Brown,Right,20.0,20.009,83126450000.0
34353,2S,EE,Brown,Right,20.0,20.004,83162530000.0
34353,2S,WW,Brown,Right,20.0,20.003,84042960000.0
34353,2S,EE,Brown,Right,20.0,20.014,83119820000.0
34353,2S,WW,Brown,Right,20.0,20.004,83835610000.0
34357,2S,WW,Perugia,Left,20.0,20.0,54178691008.123
34357,2S,EE,Perugia,Left,20.0,20.0,55569169689.862
34357,2S,WW,Perugia,Left,20.0,20.0,55995646794.19
34357,2S,EE,Perugia,Left,20.0,20.0,55045250404.724
34357,2S,WW,Perugia,Left,20.0,20.0,54845087052.038
34357,2S,EE,Perugia,Left,20.0,20.0,51742711866.162
34357,2S,WW,Perugia,Left,20.0,20.0,53586352008.31
34357,2S,EE,Perugia,Left,20.0,20.0,54288663012.95
34357,2S,WW,Perugia,Left,20.0,20.0,54097202827.185
34357,2S,EE,Perugia,Left,20.0,20.0,58225547372.917
34357,2S,WW,Perugia,Left,20.0,20.0,54913266520.329
34357,2S,EE,Perugia,Left,20.0,20.0,61077617741.059
34357,2S,WW,Perugia,Left,20.0,20.0,59501368572.02
34357,2S,EE,Perugia,Left,20.0,20.0,55842516404.101
34357,2S,WW,Perugia,Left,20.0,20.0,57452297932.074
34357,2S,EE,Perugia,Left,20.0,20.0,61543638866.776
34357,2S,WW,Perugia,Left,20.0,20.0,59627480083.373
34357,2S,EE,Perugia,Left,20.0,20.0,63928275071.7
34357,2S,WW,Perugia,Left,20.0,20.0,60785218825.005
34357,2S,EE,Perugia,Left,20.0,20.0,51344754577.48
34357,2S,EE,Perugia,Left,20.0,20.0,50481036196.492
34357,2S,EE,Perugia,Left,20.0,20.0,48632385469.128
34357,2S,EE,Perugia,Left,20.0,20.0,51224954508.595
34354,2S,EE,Perugia,Left,20.0,20.0,80568384934.522
34354,2S,WW,Perugia,Left,20.0,20.0,76468848010.956
34354,2S,EE,Perugia,Left,20.0,20.0,78256352985.845
34354,2S,WW,Perugia,Left,20.0,20.0,75650940695.863
34354,2S,EE,Perugia,Left,20.0,20.0,77899401043.9
34354,2S,WW,Perugia,Left,20.0,20.0,76580708110.715
34354,2S,EE,Perugia,Left,20.0,20.0,81777288293.635
34354,2S,WW,Perugia,Left,20.0,20.0,76551102060.469
34354,2S,EE,Perugia,Left,20.0,20.0,77950105994.692
34354,2S,WW,Perugia,Left,20.0,20.0,77020810981.496
34354,2S,EE,Perugia,Left,20.0,20.0,78095581915.251
34354,2S,WW,Perugia,Left,20.0,20.0,77138865980.951
34354,2S,EE,Perugia,Left,20.0,20.0,78054837250.864
34354,2S,WW,Perugia,Left,20.0,20.0,77922095202.642
34354,2S,EE,Perugia,Left,20.0,20.0,78028655185.165
34354,2S,WW,Perugia,Left,20.0,20.0,77414513631.892
34354,2S,EE,Perugia,Left,20.0,20.0,78252213239.85
34354,2S,WW,Perugia,Left,20.0,20.0,78474459656.635
34354,2S,EE,Perugia,Left,20.0,20.0,74406790483.562
34354,2S,WW,Perugia,Left,20.0,20.0,72812049496.299
34354,2S,EE,Perugia,Left,20.0,20.0,74010368251.752
34354,2S,WW,Perugia,Left,20.0,20.0,72897780259.502
34354,2S,EE,Perugia,Left,20.0,20.0,74508541325.927
34354,2S,WW,Perugia,Left,20.0,20.0,73824162858.743
34354,2S,EE,Perugia,Left,20.0,20.0,75122615419.506
34354,2S,WW,Perugia,Left,20.0,20.0,74479316589.495
34354,2S,EE,Perugia,Left,20.0,20.0,75105617369.851
34354,2S,WW,Perugia,Left,20.0,20.0,74066314708.921
34354,2S,EE,Perugia,Left,20.0,20.0,75584653850.075
34354,2S,WW,Perugia,Left,20.0,20.0,75746029109.548
34354,2S,EE,Perugia,Left,20.0,20.0,75543487690.144
34354,2S,WW,Perugia,Left,20.0,20.0,75255079639.124
34354,2S,EE,Perugia,Left,20.0,20.0,75953354761.839
34354,2S,WW,Perugia,Left,20.0,20.0,75507795488.198
34354,2S,EE,Perugia,Left,20.0,20.0,75629107567.227
34354,2S,WW,Perugia,Left,20.0,20.0,74864000099.479
34354,2S,EE,Perugia,Left,20.0,20.0,75788444421.638
34354,2S,EE,Perugia,Left,20.0,20.0,75353679812.979
34354,2S,EE,Perugia,Left,20.0,20.0,75649897276.262
34354,2S,WW,Perugia,Left,20.0,20.0,75597792825.671
34357,2S,EE,Perugia,Left,20.0,20.0,51343591509.201
34357,2S,WW,Perugia,Left,20.0,20.0,50902759162.969
34357,2S,EE,Perugia,Left,20.0,20.0,51335865862.642
34357,2S,WW,Perugia,Left,20.0,20.0,51921971217.698
34357,2S,EE,Perugia,Left,20.0,20.0,53075708786.287
34357,2S,WW,Perugia,Left,20.0,20.0,51472813120.97
34359,2S,EE,Brown,Right,20.0,20.004,79948310000.0
34359,2S,WW,Brown,Right,20.0,20.003,82165050000.0
34359,2S,EE,Brown,Left,20.0,20.068,80798160000.0
34359,2S,WW,Brown,Right,20.0,20.001,81423260000.0
34359,2S,EE,Brown,Right,20.0,20.003,79974970000.0
34359,2S,WW,Brown,Right,20.0,20.002,82432580000.0
34359,2S,EE,Brown,Right,20.0,20.003,84741050000.0
34359,2S,WW,Brown,Right,20.0,20.003,83195280000.0
34359,2S,EE,Brown,Right,20.0,20.004,80445200000.0
34359,2S,WW,Brown,Left,20.0,20.032,76115630000.0
34359,2S,EE,Brown,Left,20.0,20.031,82526350000.0
34359,2S,WW,Brown,Right,20.0,20.004,84131380000.0
34359,2S,EE,Brown,Right,20.0,20.002,80829130000.0
34359,2S,WW,Brown,Right,20.0,20.003,83886250000.0
34359,2S,EE,Brown,Right,20.0,20.009,80138880000.0
