batch_number,Average,std
35496,653.5119375,4.470582843848207
35499,651.9114000000001,3.0189409401311473
35953,671.9061,4.541229002343366
35957,672.8239333333333,4.261785840129269
35958,673.75465625,4.293567947142996
36239,670.3808333333333,5.4856172865496555
36240,671.6299583333333,4.709936429730395
36241,678.6626,6.960914265419891
36243,640.0,0.0
36245,659.5814545454544,4.35103736808262
36246,658.7885555555555,3.6951756182450977
36696,670.1177647058823,5.119530062825203
36697,663.1167021276596,4.661173443014643
36698,681.01935,9.549534892366562
36699,674.1765263157895,7.204922085849215
36700,671.6290909090909,20.968376706498486
36701,679.00985,6.990153460215895
36706,671.4568333333333,4.408797008323909
36795,665.64325,4.899274252376583
36796,661.4705555555555,29.01607741808023
36797,667.911125,7.482091970164501
36800,665.96115,5.391255163639884
36801,683.02535,6.134683282478077
36802,679.3993,19.436564186577495
36803,672.3297096774194,5.327174186461656
37079,664.3323125,5.445660140194236
37081,682.89165,29.39948315921465
37087,666.990625,7.36266106671586
37088,662.075705882353,9.780631343148963
37398,675.8846875,5.873595897105937
37399,662.64025,3.549301123695569
37400,668.1713265306123,5.71728193501859
37401,659.3586428571429,5.620420030938618
37404,677.09545,4.77492339398457
37405,674.4430909090909,5.375815126755784
37406,672.5194375,31.810269905527363
37407,670.453875,4.534349198065788
37408,659.8451428571428,5.677829038761804
37895,687.8736875,8.151092129023791
37896,666.1421875,4.126702690506483
37897,663.6145714285714,6.520734889144448
37898,677.1879444444444,7.336792779604012
37899,675.7681875,7.806146246975274
37903,682.161625,4.58731481188434
37904,671.3397857142857,4.888312064636374
37905,679.2392857142858,6.423846689150815
37906,673.2213157894737,5.563306251707888
37907,677.1634285714287,24.88318100402601
38196,661.7427142857142,4.589556496565284
38197,672.981125,10.01926093664931
38199,649.9481428571428,3.3945355376669486
38200,669.1995625,5.328008082685918
38202,656.8290588235294,12.115854372838259
38212,662.308375,5.778881539709879
38691,649.9254375,3.612351606525421
38693,666.7128125,6.989296609518969
38694,658.1428125,4.063685539322621
38695,667.6534375,17.271198607194748
38696,663.3038,16.448250054417066
38712,674.5668888888889,5.07934157253258
