Name,Type,Average,Std.dev
35715,2S,18744.00,695.00
35716,2S,18044.00,262.00
35720,2S,18856.00,754.00
35721,2S,18843.00,276.00
35497,PS-p,19520.00,1770.00
35498,PS-p,18970.00,200.00
35954,PS-s,18351.00,203.00
35955,PS-s,19563.00,1337.00
36243,2S,18394.00,250.00
36244,2S,17919.00,238.00
36232,PS-p,18480.00,660.00
36233,PS-p,18310.00,470.00
36234,PS-p,17920.00,210.00
36235,PS-p,18440.00,760.00
36793,PS-s,19060.00,350.00
36794,PS-s,20290.00,1740.00
37077,PS-s,18052.00,376.00
37078,PS-s,18337.00,367.00
37400,2S,18667.00,260.00
37401,2S,18989.00,928.00
37408,2S,18040.00,410.00
37897,2S,18510.00,340.00
37904,2S,18420.00,660.00
37905,2S,19630.00,2210.00
38196,2S,19490.00,1070.00
38199,2S,19260.00,550.00
38714,2S,18920.00,580.00
38715,2S,19100.00,300.00
38869,2S,19450.00,260.00
38870,2S,18820.00,290.00
